query_key,status,bbl,bin,label,pelias_confidence,match_type,returned_number,returned_street,geocoded_at
Bronx|1009|NELSON AVENUE,ok,2025120004,2130524,"1009 NELSON AVENUE, Bronx, NY, USA",0.8,fallback,1009,NELSON AVENUE,2026-09-20T19:46:00+00:00
Bronx|1010|LINCOLN AVENUE,mismatch,,,"1010 LINCOLN PLACE, Brooklyn, NY, USA",,,1010,LINCOLN PLACE,2026-09-20T19:46:00+00:00
Bronx|1010|WASHINGTON AVENUE,ok,2023697503,2131299,"1010 WASHINGTON AVENUE, Bronx, NY, USA",0.8,fallback,1010,WASHINGTON AVENUE,2026-09-20T19:46:00+00:00
Bronx|1026|SOUTHERN BOULEVARD,ok,2027430006,2130444,"1026 SOUTHERN BOULEVARD, Bronx, NY, USA",0.8,fallback,1026,SOUTHERN BOULEVARD,2026-09-20T19:46:00+00:00
Bronx|1030|SOUTHERN BOULEVARD,ok,2027430006,2130444,"1030 SOUTHERN BOULEVARD, Bronx, NY, USA",0.8,fallback,1030,SOUTHERN BOULEVARD,2026-09-20T19:51:05+00:00
Bronx|1031|REVEREND JAMES A POLITE AVENUE,ok,2026910130,2005274,"1031 REVEREND JAMES A POLITE AVENUE, Bronx, NY, USA",1,exact,1031,REVEREND JAMES A POLITE AVENUE,2026-09-20T19:46:00+00:00
Bronx|1038|BOSTON ROAD,ok,2026220040,2004403,"1038 BOSTON ROAD, Bronx, NY, USA",0.8,fallback,1038,BOSTON ROAD,2026-09-20T19:46:00+00:00
Bronx|1046|CLAY AVENUE,ok,2024250005,2002052,"1046 CLAY AVENUE, Bronx, NY, USA",0.8,fallback,1046,CLAY AVENUE,2026-09-20T19:46:00+00:00
Bronx|1051|KELLY STREET,ok,2027050048,2005490,"1051 KELLY STREET, Bronx, NY, USA",0.8,fallback,1051,KELLY STREET,2026-09-20T19:46:00+00:00
Bronx|1052|GRANT AVENUE,ok,2024480006,2002534,"1052 GRANT AVENUE, Bronx, NY, USA",0.8,fallback,1052,GRANT AVENUE,2026-09-20T19:46:01+00:00
Bronx|1055|JEROME AVENUE,ok,2025040105,2003053,"1055 JEROME AVENUE, Bronx, NY, USA",0.8,fallback,1055,JEROME AVENUE,2026-09-20T19:46:01+00:00
Bronx|1058|UNIVERSITY AVENUE,ok,2025260040,2129665,"1058 UNIVERSITY AVENUE, Bronx, NY, USA",0.8,fallback,1058,UNIVERSITY AVENUE,2026-09-20T19:46:01+00:00
Bronx|1074|WASHINGTON AVENUE,ok,2023700016,2129119,"1074 WASHINGTON AVENUE, Bronx, NY, USA",0.8,fallback,1074,WASHINGTON AVENUE,2026-09-20T19:46:01+00:00
Bronx|108|EAST 157 STREET,ok,2024820030,2002971,"108 EAST 157 STREET, Bronx, NY, USA",0.8,fallback,108,EAST 157 STREET,2026-09-20T20:11:01+00:00
Bronx|1094|LONGFELLOW AVENUE,ok,2027570068,2006288,"1094 LONGFELLOW AVENUE, Bronx, NY, USA",0.8,fallback,1094,LONGFELLOW AVENUE,2026-09-20T19:46:01+00:00
Bronx|1097|LONGWOOD AVENUE,ok,2027310002,2005835,"1097 LONGWOOD AVENUE, Bronx, NY, USA",0.8,fallback,1097,LONGWOOD AVENUE,2026-09-20T19:46:01+00:00
Bronx|1115|JEROME AVENUE,ok,2025050084,2003072,"1115 JEROME AVENUE, Bronx, NY, USA",0.8,fallback,1115,JEROME AVENUE,2026-09-20T19:46:01+00:00
Bronx|1122|SOUTHERN BOULEVARD,ok,2027450002,2128906,"1122 SOUTHERN BOULEVARD, Bronx, NY, USA",0.8,fallback,1122,SOUTHERN BOULEVARD,2026-09-20T19:46:01+00:00
Bronx|1148|FTELEY AVENUE,ok,2037480099,2024140,"1148 FTELEY AVENUE, Bronx, NY, USA",0.8,fallback,1148,FTELEY AVENUE,2026-09-20T19:46:01+00:00
Bronx|115|EAST MOSHOLU PARKWAY NORTH,ok,2033260001,2017719,"115 EAST MOSHOLU PARKWAY NORTH, Bronx, NY, USA",0.8,fallback,115,EAST MOSHOLU PARKWAY NORTH,2026-09-20T19:46:01+00:00
Bronx|1163|STRATFORD AVENUE,ok,2037430057,2023993,"1163 STRATFORD AVENUE, Bronx, NY, USA",0.8,fallback,1163,STRATFORD AVENUE,2026-09-20T19:46:01+00:00
Bronx|116|WHEELER AVENUE,mismatch,,,"1320 WHEELER AVENUE, Bronx, NY, USA",,,1320,WHEELER AVENUE,2026-09-20T19:46:01+00:00
Bronx|1171|GRANT AVENUE,ok,2024520073,2002675,"1171 GRANT AVENUE, Bronx, NY, USA",0.8,fallback,1171,GRANT AVENUE,2026-09-20T19:46:01+00:00
Bronx|1179|FORREST AVENUE,mismatch,,,"1179 VINCENT AVENUE, Bronx, NY, USA",,,1179,VINCENT AVENUE,2026-09-20T19:46:01+00:00
Bronx|1185|WASHINGTON AVENUE,ok,2023890043,2130695,"1185 WASHINGTON AVENUE, Bronx, NY, USA",0.8,fallback,1185,WASHINGTON AVENUE,2026-09-20T19:46:02+00:00
Bronx|11|WEST 172 STREET,ok,2028590092,2008337,"11 WEST 172 STREET, Bronx, NY, USA",0.8,fallback,11,WEST 172 STREET,2026-09-20T19:46:01+00:00
Bronx|120|MORRIS AVENUE,mismatch,,,"2056 MORRIS AVENUE, Bronx, NY, USA",,,2056,MORRIS AVENUE,2026-09-20T19:46:02+00:00
Bronx|1215|PUTNAM AVENUE,mismatch,,,"1215 PUTNAM AVENUE, Brooklyn, NY, USA",,,1215,PUTNAM AVENUE,2026-09-20T19:46:02+00:00
Bronx|1235|GRAND CONCOURSE,ok,2024640023,2002849,"1235 GRAND CONCOURSE, Bronx, NY, USA",0.8,fallback,1235,GRAND CONCOURSE,2026-09-20T19:46:02+00:00
Bronx|123|FATHER ZEISER PLACE,ok,2032190219,2014826,"123 FATHER ZEISER PLACE, Bronx, NY, USA",0.8,fallback,123,FATHER ZEISER PLACE,2026-09-20T19:46:02+00:00
Bronx|123|WEST 188 STREET,ok,2032190219,2014826,"123 WEST 188 STREET, Bronx, NY, USA",0.8,fallback,123,WEST 188 STREET,2026-09-20T19:46:02+00:00
Bronx|1250|OAK POINT AVENUE,ok,2027710203,2006879,"1250 OAK POINT AVENUE, Bronx, NY, USA",0.8,fallback,1250,OAK POINT AVENUE,2026-09-20T19:46:02+00:00
Bronx|1256|TELLER AVENUE,ok,2024310012,2002168,"1256 TELLER AVENUE, Bronx, NY, USA",0.8,fallback,1256,TELLER AVENUE,2026-09-20T19:46:02+00:00
Bronx|1258|NOBLE AVENUE,ok,2037830013,2025544,"1258 NOBLE AVENUE, Bronx, NY, USA",0.8,fallback,1258,NOBLE AVENUE,2026-09-20T19:46:02+00:00
Bronx|1272|GRANT AVENUE,ok,2024500119,2103415,"1272 GRANT AVENUE, Bronx, NY, USA",0.8,fallback,1272,GRANT AVENUE,2026-09-20T19:46:02+00:00
Bronx|1285|EDWARD L GRANT HIGHWAY,ok,2025060100,2129283,"1285 EDWARD L GRANT HIGHWAY, Bronx, NY, USA",0.8,fallback,1285,EDWARD L GRANT HIGHWAY,2026-09-20T19:46:02+00:00
Bronx|1295|SPOFFORD AVENUE,ok,2027630162,2098657,"1295 SPOFFORD AVENUE, Bronx, NY, USA",0.8,fallback,1295,SPOFFORD AVENUE,2026-09-20T19:46:02+00:00
Bronx|130|MARCY PLACE,ok,2028400054,2092052,"130 MARCY PLACE, Bronx, NY, USA",0.8,fallback,130,MARCY PLACE,2026-09-20T19:46:02+00:00
Bronx|1315|FINDLAY AVENUE,ok,2027830070,2007211,"1315 FINDLAY AVENUE, Bronx, NY, USA",0.8,fallback,1315,FINDLAY AVENUE,2026-09-20T19:46:03+00:00
Bronx|1319|PLIMPTON AVENUE,ok,2025220036,2003372,"1319 PLIMPTON AVENUE, Bronx, NY, USA",0.8,fallback,1319,PLIMPTON AVENUE,2026-09-20T19:46:03+00:00
Bronx|1322|CHISHOLM STREET,ok,2029720020,2010419,"1322 CHISHOLM STREET, Bronx, NY, USA",0.8,fallback,1322,CHISHOLM STREET,2026-09-20T19:46:03+00:00
Bronx|1347|INTERVALE AVENUE,ok,2029650223,2087773,"1347 INTERVALE AVENUE, Bronx, NY, USA",0.8,fallback,1347,INTERVALE AVENUE,2026-09-20T19:46:03+00:00
Bronx|1360|UNIVERSITY AVENUE,ok,2025340001,2003554,"1360 UNIVERSITY AVENUE, Bronx, NY, USA",0.8,fallback,1360,UNIVERSITY AVENUE,2026-09-20T19:46:03+00:00
Bronx|138|BRUCKNER BOULEVARD,ok,2022600010,2129717,"138 BRUCKNER BOULEVARD, Bronx, NY, USA",0.8,fallback,138,BRUCKNER BOULEVARD,2026-09-20T19:46:03+00:00
Bronx|140|WEST FORDHAM ROAD,ok,2032250108,2130515,"140 WEST FORDHAM ROAD, Bronx, NY, USA",0.8,fallback,140,WEST FORDHAM ROAD,2026-09-20T19:46:03+00:00
Bronx|1419|BRYANT AVENUE,ok,2029940041,2010745,"1419 BRYANT AVENUE, Bronx, NY, USA",0.8,fallback,1419,BRYANT AVENUE,2026-09-20T19:46:03+00:00
Bronx|1429|PROSPECT AVENUE,ok,2029620030,2010197,"1429 PROSPECT AVENUE, Bronx, NY, USA",0.8,fallback,1429,PROSPECT AVENUE,2026-09-20T19:46:03+00:00
Bronx|1435|NELSON AVENUE,ok,2028740044,2008753,"1435 NELSON AVENUE, Bronx, NY, USA",0.8,fallback,1435,NELSON AVENUE,2026-09-20T19:46:03+00:00
Bronx|1448|BRYANT AVENUE,ok,2029990023,2010823,"1448 BRYANT AVENUE, Bronx, NY, USA",0.8,fallback,1448,BRYANT AVENUE,2026-09-20T19:46:03+00:00
Bronx|1460|COLLEGE AVENUE,ok,2027840040,2007255,"1460 COLLEGE AVENUE, Bronx, NY, USA",0.8,fallback,1460,COLLEGE AVENUE,2026-09-20T19:46:03+00:00
Bronx|1466|GRAND CONCOURSE,ok,2028320040,2007993,"1466 GRAND CONCOURSE, Bronx, NY, USA",0.8,fallback,1466,GRAND CONCOURSE,2026-09-20T19:46:03+00:00
Bronx|1472|BOSTON ROAD,ok,2029640042,2000000,"1472 BOSTON ROAD, Bronx, NY, USA",0.8,fallback,1472,BOSTON ROAD,2026-09-20T19:46:04+00:00
Bronx|1476|JESSUP AVENUE,mismatch,,,"1476 BRYANT AVENUE, Bronx, NY, USA",,,1476,BRYANT AVENUE,2026-09-20T19:46:04+00:00
Bronx|1500|UNIONPORT ROAD,ok,2039430001,2033973,"1500 UNIONPORT ROAD, Bronx, NY, USA",0.8,fallback,1500,UNIONPORT ROAD,2026-09-20T19:46:04+00:00
Bronx|1517|MORRIS AVENUE,ok,2028200055,2007839,"1517 MORRIS AVENUE, Bronx, NY, USA",0.8,fallback,1517,MORRIS AVENUE,2026-09-20T19:46:04+00:00
Bronx|1521|BRYANT AVENUE,ok,2029960045,2010793,"1521 BRYANT AVENUE, Bronx, NY, USA",0.8,fallback,1521,BRYANT AVENUE,2026-09-20T19:46:04+00:00
Bronx|1529|LURTING AVENUE,ok,2040680019,2044042,"1529 LURTING AVENUE, Bronx, NY, USA",0.8,fallback,1529,LURTING AVENUE,2026-09-20T19:46:04+00:00
Bronx|1550|JESSUP AVENUE,mismatch,,,"1550 BRYANT AVENUE, Bronx, NY, USA",,,1550,BRYANT AVENUE,2026-09-20T19:46:04+00:00
Bronx|1550|WHITE PLAINS ROAD,ok,2039370022,2114062,"1550 WHITE PLAINS ROAD, Bronx, NY, USA",0.8,fallback,1550,WHITE PLAINS ROAD,2026-09-20T19:46:04+00:00
Bronx|1565|TOWNSEND AVENUE,ok,2028460041,2008141,"1565 TOWNSEND AVENUE, Bronx, NY, USA",0.8,fallback,1565,TOWNSEND AVENUE,2026-09-20T19:46:04+00:00
Bronx|156|BRUCKNER BOULEVARD,ok,2025460011,2129202,"156 BRUCKNER BOULEVARD, Bronx, NY, USA",0.8,fallback,156,BRUCKNER BOULEVARD,2026-09-20T19:46:04+00:00
Bronx|157|WEST 179 STREET,ok,2032210034,2014868,"157 WEST 179 STREET, Bronx, NY, USA",0.8,fallback,157,WEST 179 STREET,2026-09-20T19:46:04+00:00
Bronx|1580|PELHAM PARKWAY,ok,2042220046,2093185,"1580 PELHAM PARKWAY, Bronx, NY, USA",0.8,fallback,1580,PELHAM PARKWAY,2026-09-20T19:46:04+00:00
Bronx|1600|GRAND AVENUE,ok,2028650160,2130750,"1600 GRAND AVENUE, Bronx, NY, USA",0.8,fallback,1600,GRAND AVENUE,2026-09-20T19:46:04+00:00
