bulletin_id,bulletin_month,bulletin_year,pdf_url,source_pdf,source_page,source_page_end,section,had_bullet,enforcement_date,enforcement_date_text,penalty_amount,penalty_basis,all_dollar_amounts,respondent,respondent_role,address_raw,address_number,address_street,address_anchored,addresses_other,n_anchored_addresses,borough,borough_source,borough_conflict,professional_section,identifiers_mentioned,violation_description,enforcement_text,enforcement_id,pops_id,match_method,match_confidence,match_score,match_status,match_candidates,match_notes,matched_address_key,geocoded_bbl,geocoded_bin,pops_keyword_tier,pops_keyword_hits,pops_relation,violation_category,violation_category_terms,geocode_status,manual_review_status,pops_bbl,pops_bin,pops_address_normalized,pops_borough,pops_latitude,pops_longitude,pops_building_name,pops_type,pops_year_established,pops_required_hours,possible_duplicate_of,duplicate_basis
2017-12,12,2017,https://www.nyc.gov/assets/buildings/pdf/1217_enforcement_action_bulletin.pdf,data/raw/dob_bulletins/2017/12.pdf,1,1,,True,,,37500,leading_amount,37500,"Dvir Mog 18, Inc.",contractor,2881 Nostrand Avenue,2881,Nostrand Avenue,True,,1,Brooklyn,text,False,False,{},after a worker fell and was injured at a construction site at 2881 Nostrand Avenue in Brooklyn. The contractor was also disciplined for failing to report the incident to DOB,"$37,500 in fines issued to contractor Dvir Mog 18, Inc., after a worker fell and was injured at a construction site at 2881 Nostrand Avenue in Brooklyn. The contractor was also disciplined for failing to report the incident to DOB.",EA-201712-5691f1e636,,none,none,0.0,no_match,,no POPS at this address,,3076917501,3211324,,,none,,,ok,,,,,,,,,,,,,
2017-12,12,2017,https://www.nyc.gov/assets/buildings/pdf/1217_enforcement_action_bulletin.pdf,data/raw/dob_bulletins/2017/12.pdf,1,1,,True,,,25000,leading_amount,25000,New Line Structures,contractor,26-01 1st Street,26-01,1st Street,True,,1,Queens,text,False,False,{},after a worker fell through a hole on a roof deck at 26-01 1st Street in Queens. The worker was not utilizing proper safety equipment and plywood covering holes in the deck was not properly secured,"$25,000 in fines issued to contractor New Line Structures, after a worker fell through a hole on a roof deck at 26-01 1st Street in Queens. The worker was not utilizing proper safety equipment and plywood covering holes in the deck was not properly secured.",EA-201712-594f11b87d,,none,none,0.0,no_match,,no POPS at this address,,4009157501,4617681,,,none,,,ok,,,,,,,,,,,,,
2017-12,12,2017,https://www.nyc.gov/assets/buildings/pdf/1217_enforcement_action_bulletin.pdf,data/raw/dob_bulletins/2017/12.pdf,1,2,,True,,,,,22500,,,1227 47th Street,1227,47th Street,True,,1,Brooklyn,text,False,False,{},"As a result of DOB violations and the issuance of a criminal summons, the owner of a synagogue at 1227 47th Street in Brooklyn was ordered to pay $22,500 in fines for violating various stop work and full vacate orders by continuing to assemble in a structurally unsound building.","As a result of DOB violations and the issuance of a criminal summons, the owner of a synagogue at 1227 47th Street in Brooklyn was ordered to pay $22,500 in fines for violating various stop work and full vacate orders by continuing to assemble in a structurally unsound building.",EA-201712-640a59d7c7,,none,none,0.0,no_match,,no POPS at this address,,3056220061,3396984,,,none,,,ok,,,,,,,,,,,,,
2017-12,12,2017,https://www.nyc.gov/assets/buildings/pdf/1217_enforcement_action_bulletin.pdf,data/raw/dob_bulletins/2017/12.pdf,2,2,,True,,,40000,leading_amount,40000,2259 Richmond Avenue LLC,,2259 Richmond Avenue,2259,Richmond Avenue,False,,0,Staten Island,text_elsewhere,False,False,{},for displaying illegal advertising signage on a busy Staten Island roadway,"$40,000 in fines issued to 2259 Richmond Avenue LLC for displaying illegal advertising signage on a busy Staten Island roadway.",EA-201712-578a8f13a9,,none,none,0.0,no_match,,no POPS at this address,,5023800080,5000000,,,none,,,ok,,,,,,,,,,,,,
2017-12,12,2017,https://www.nyc.gov/assets/buildings/pdf/1217_enforcement_action_bulletin.pdf,data/raw/dob_bulletins/2017/12.pdf,2,2,,True,,,,,,,,,,,False,,0,,,False,False,{},"The 2-year suspension of full filing privileges, and starting in March 2018, the permanent revocation of the professional certification and Directive 14 privileges of Russell Dance, PE, for illegally filing professionally certified applications with DOB while on probation.","The 2-year suspension of full filing privileges, and starting in March 2018, the permanent revocation of the professional certification and Directive 14 privileges of Russell Dance, PE, for illegally filing professionally certified applications with DOB while on probation.",EA-201712-b40bae5d75,,none,none,0.0,no_match,,no address evidence,,,,,,none,,,no_address,,,,,,,,,,,,,
2017-12,12,2017,https://www.nyc.gov/assets/buildings/pdf/1217_enforcement_action_bulletin.pdf,data/raw/dob_bulletins/2017/12.pdf,2,2,,True,,,10000,leading_amount,10000,Henry Marina,licensed site safety manager,,,,False,,0,,,False,False,{},"for submitting false and misleading documents regarding an 18-month site-safety manager training program. These actions represent a portion of DOB’s overall work to enforce the City’s building codes and safety laws, in addition to the hundreds of inspections conducted and violations issued by the agency each month for illegal building and construction conditions. Each monthly report will include a summary of these enforcement actions, highlighting specific cases and incidents after the Department’s data has been fully compiled and reviewed","$10,000 in fines and a 1-year probation period issued to licensed site safety manager Henry Marina for submitting false and misleading documents regarding an 18-month site-safety manager training program. These actions represent a portion of DOB’s overall work to enforce the City’s building codes and safety laws, in addition to the hundreds of inspections conducted and violations issued by the agency each month for illegal building and construction conditions. Each monthly report will include a summary of these enforcement actions, highlighting specific cases and incidents after the Department’s data has been fully compiled and reviewed.",EA-201712-f679ce3f13,,none,none,0.0,no_match,,no address evidence,,,,,,none,,,no_address,,,,,,,,,,,,,
2018-01,1,2018,https://www.nyc.gov/assets/buildings/pdf/0118_enforcement_action_bulletin.pdf,data/raw/dob_bulletins/2018/01.pdf,1,1,,True,2017-11-19,"November 19, 2017",,,,,,568 Broadway,568,Broadway,True,,1,Manhattan,text,False,False,{},"DOB obtained the voluntary surrender of all Directive 14 and Professional Certification privileges of Professional Engineer Daniel Odigie, responsible for submitting multiple defective sidewalk shed applications to DOB, including for a sidewalk shed that collapsed on November 19, 2017 at 568 Broadway, Manhattan.","DOB obtained the voluntary surrender of all Directive 14 and Professional Certification privileges of Professional Engineer Daniel Odigie, responsible for submitting multiple defective sidewalk shed applications to DOB, including for a sidewalk shed that collapsed on November 19, 2017 at 568 Broadway, Manhattan.",EA-201801-16160caa5a,,none,none,0.0,no_match,,no POPS at this address,,1005110001,1007942,,,none,,,ok,,,,,,,,,,,,,
2018-01,1,2018,https://www.nyc.gov/assets/buildings/pdf/0118_enforcement_action_bulletin.pdf,data/raw/dob_bulletins/2018/01.pdf,1,1,,True,,,,,,,,,,,False,,0,,,False,False,{},The revocation of all Directive 14 and Professional Certification privileges of Registered Architect Robert Lenahan for knowingly including false statements on multiple technical reports submitted to the Department of Buildings.,The revocation of all Directive 14 and Professional Certification privileges of Registered Architect Robert Lenahan for knowingly including false statements on multiple technical reports submitted to the Department of Buildings.,EA-201801-81d31fff32,,none,none,0.0,no_match,,no address evidence,,,,,,none,,,no_address,,,,,,,,,,,,,
2018-01,1,2018,https://www.nyc.gov/assets/buildings/pdf/0118_enforcement_action_bulletin.pdf,data/raw/dob_bulletins/2018/01.pdf,2,2,,True,,,7500,leading_amount,7500,Andrzej Czechowksi,licensed master plumber,,,,False,,0,,,False,False,{},for installing a sprinkler system with a permit obtained using another person’s Department issued license,"$7,500 in fines and a 1-year probation period issued to licensed master plumber Andrzej Czechowksi for installing a sprinkler system with a permit obtained using another person’s Department issued license.",EA-201801-31d65c7905,,none,none,0.0,no_match,,no address evidence,,,,,,none,,,no_address,,,,,,,,,,,,,
2018-01,1,2018,https://www.nyc.gov/assets/buildings/pdf/0118_enforcement_action_bulletin.pdf,data/raw/dob_bulletins/2018/01.pdf,2,2,,True,,,3000,leading_amount,3000,licensed hoisting machine operator Mark Agoglia,,,,,False,,0,,,False,False,{},"for failure to maintain his driver’s license as required by the Administrative Code, resulting from the suspension of his driver’s license","$3,000 in fines and a 1-year probation period issued to licensed hoisting machine operator Mark Agoglia for failure to maintain his driver’s license as required by the Administrative Code, resulting from the suspension of his driver’s license.",EA-201801-96aa6464dc,,none,none,0.0,no_match,,no address evidence,,,,,,none,,,no_address,,,,,,,,,,,,,
