enforcement_id,pops_id,bbl,bin,normalized_address,pops_borough_master,latitude,longitude,building_name,pops_type,pops_year_established,pops_required_hours,owner,owner_role_as_stated,bulletin_month,bulletin_year,enforcement_date,violation_category,violation_description,penalty_amount,enforcement_text,pdf_url,source_pdf,source_page,match_method,match_confidence,match_score,match_status,match_notes,pops_relation,pops_keyword_tier,pops_keyword_hits,manual_review_status,review_note,possible_duplicate_of,duplicate_basis,violation_category_terms,bulletin_id,address_raw,borough,geocoded_bbl,geocoded_bin
EA-201804-170198e0d7,M070027,1011710063,1088686,75 WEST END AVENUE,Manhattan,40.773792,-73.989403,West End Towers,Public Open Spaces,1993,Restricted Hours,Thomas Brodsky,building owner,4,2018,,other,"for filing false statements on six separate PW-1 applications for properties in Manhattan, including 1801 2nd Avenue, 154 West 71st Street, 124 West 60th Street, and 75 West End Avenue, concerning whether or not the building is occupied",28000,"$28,000 in penalties issued to building owner Thomas Brodsky for filing false statements on six separate PW-1 applications for properties in Manhattan, including 1801 2nd Avenue, 154 West 71st Street, 124 West 60th Street, and 75 West End Avenue, concerning whether or not the building is occupied.",https://www.nyc.gov/assets/buildings/pdf/0418_enforcement_action_bulletin.pdf,data/raw/dob_bulletins/2018/04.pdf,1,bbl,high,1.0,matched,bbl via geocode; address also agrees,property_match_only,,,needs_review,,,,,2018-04,1801 2nd Avenue,Manhattan,1015397501;1011420064;1011317502;1011710063,1048918;1029778;1028827;1088686
EA-201807-b98c41f6ab,M060074,1013650009,1040158,420 EAST 54 STREET,Manhattan,40.755676,-73.96353,River Tower,Residential Plaza,1982,24 Hours,Vector Building Corp.,General Contractor,7,2018,,other,"where a worker was injured after falling one story through a hole in the floor at a construction site at 415 East 53rd Street, Manhattan",25000,"$25,000 in penalties issued to General Contractor Vector Building Corp. where a worker was injured after falling one story through a hole in the floor at a construction site at 415 East 53rd Street, Manhattan.",https://www.nyc.gov/assets/buildings/pdf/0718_enforcement_action_bulletin.pdf,data/raw/dob_bulletins/2018/07.pdf,2,bbl,high,0.95,matched,bbl via geocode,property_match_only,,,needs_review,,,,,2018-07,415 East 53rd Street,Manhattan,1013650009,1040158
EA-201807-a79d37d758,M010031,1000090014,1000020,17 STATE STREET,Manhattan,40.702892,-74.013878,,Arcade; Public Exhibit Space; Sidewalk Widening; Urban Plaza,1987,24 Hours,17 State Owner LLC,,7,2018,,seating;trees,"after inspectors observed that required chairs, tables, and trees were missing from a Privately Owned Public Space (POPS) plaza at 17 State Street, Manhattan (aka 9-19 State St.), in violation of a 1986 agreement the property owners made with the City",4000,"$4,000 in penalties issued to 17 State Owner LLC after inspectors observed that required chairs, tables, and trees were missing from a Privately Owned Public Space (POPS) plaza at 17 State Street, Manhattan (aka 9-19 State St.), in violation of a 1986 agreement the property owners made with the City.",https://www.nyc.gov/assets/buildings/pdf/0718_enforcement_action_bulletin.pdf,data/raw/dob_bulletins/2018/07.pdf,3,bbl,high,1.0,matched,bbl via geocode; address also agrees,pops_text_and_property_match,strong,privately owned public space;POPS;public space;plaza,auto_confirmed,,,,"{""seating"": [""chairs"", ""tables""], ""trees"": [""trees""]}",2018-07,17 State Street,Manhattan,1000090014,1000020
EA-201810-4e7cb422af,M010044,1000237501,1000815,1 WALL STREET,Manhattan,40.707121,-74.01183,Bank of New York,Plaza,1964,24 Hours,Universal Builders Supply,contractor,10,2018,,other,"at 1 Wall Street, Manhattan, for a failure to safeguard their construction site, after a worker assisting scaffold installation was injured on the 28th floor, and it was determined that no “tool box talks” had been held prior",10000,"$10,000 in penalties issued to contractor Universal Builders Supply, at 1 Wall Street, Manhattan, for a failure to safeguard their construction site, after a worker assisting scaffold installation was injured on the 28th floor, and it was determined that no “tool box talks” had been held prior.",https://www.nyc.gov/assets/buildings/pdf/1018_enforcement_action_bulletin.pdf,data/raw/dob_bulletins/2018/10.pdf,2,bbl,high,1.0,matched,bbl via geocode; address also agrees,property_match_only,,,needs_review,,,,,2018-10,1 Wall Street,Manhattan,1000237501,1000815
EA-201810-e6aba99655,M040002,1010487501,1026058,347 WEST 57 STREET,Manhattan,40.767961,-73.984574,Colonnade,Plaza,1976,24 Hours,"The Colonade Condominium c/o Maxwell Kates, Inc.",,10,2018,,seating;landscaping;trees;signage;unauthorized design modification;obstruction,"the owners of 347 West 57th Street, Manhattan, for several zoning violations related to their privately owned public space (POPS). They were missing required signage indicating that the plaza was open to the public, a 20 foot long illuminated marquee had been installed without DOB approval or permits, and metal spike strips had been installed around tree planters in the POPS that obstructed required seating in the plaza",12800,"$12,800 in penalties issued to The Colonade Condominium c/o Maxwell Kates, Inc., the owners of 347 West 57th Street, Manhattan, for several zoning violations related to their privately owned public space (POPS). They were missing required signage indicating that the plaza was open to the public, a 20 foot long illuminated marquee had been installed without DOB approval or permits, and metal spike strips had been installed around tree planters in the POPS that obstructed required seating in the plaza.",https://www.nyc.gov/assets/buildings/pdf/1018_enforcement_action_bulletin.pdf,data/raw/dob_bulletins/2018/10.pdf,3,bbl,high,1.0,matched,bbl via geocode; address also agrees,pops_text_and_property_match,strong,privately owned public space;POPS;public space;plaza,auto_confirmed,,,,"{""seating"": [""seating""], ""landscaping"": [""planters""], ""trees"": [""tree""], ""signage"": [""marquee"", ""signage""], ""unauthorized design modification"": [""installed without"", ""marquee""], ""obstruction"": [""obstructed"", ""spike""]}",2018-10,347 West 57th Street,Manhattan,1010487501,1026058
EA-201810-21571ee063,M070024,1011397501,1028857,1991 BROADWAY,Manhattan,40.775276,-73.982637,Bel Canto,Covered Plaza,1985,Restricted Hours,Bel Canto Condominium Association,,10,2018,,seating;trees,"the owners of 1991 Broadway, Manhattan, for failure to have the required amenities for their privately owned public space (POPS). The public space was missing the required number of tables, chairs and trees, as stipulated in the POPS agreement",4000,"$4,000 in penalties issued to Bel Canto Condominium Association, the owners of 1991 Broadway, Manhattan, for failure to have the required amenities for their privately owned public space (POPS). The public space was missing the required number of tables, chairs and trees, as stipulated in the POPS agreement.",https://www.nyc.gov/assets/buildings/pdf/1018_enforcement_action_bulletin.pdf,data/raw/dob_bulletins/2018/10.pdf,3,bbl,high,1.0,matched,bbl via geocode; address also agrees,pops_text_and_property_match,strong,privately owned public space;POPS;public space,auto_confirmed,,,,"{""seating"": [""chairs"", ""tables""], ""trees"": [""trees""]}",2018-10,1991 Broadway,Manhattan,1011397501,1028857
EA-201810-a8c8497c54,M060038,1013147501,1037178,235 EAST 40 STREET,Manhattan,40.74921,-73.973675,Vanderbilt,Residential Plaza,1986,24 Hours,Vanderbilt Condo,,10,2018,,seating;landscaping;trees;bicycle parking;obstruction,"c/o Rose Associates, the owners of 235 East 40th Street, Manhattan, for failure to have the required amenities for their privately owned public space (POPS). The public space was missing the required number of bicycle parking spaces, and metal spike strips had been installed around tree planters in the POPS, obstructing the required seating",4000,"$4,000 in penalties issued to Vanderbilt Condo. c/o Rose Associates, the owners of 235 East 40th Street, Manhattan, for failure to have the required amenities for their privately owned public space (POPS). The public space was missing the required number of bicycle parking spaces, and metal spike strips had been installed around tree planters in the POPS, obstructing the required seating.",https://www.nyc.gov/assets/buildings/pdf/1018_enforcement_action_bulletin.pdf,data/raw/dob_bulletins/2018/10.pdf,3,bbl,high,1.0,matched,bbl via geocode; address also agrees,pops_text_and_property_match,strong,privately owned public space;POPS;public space,auto_confirmed,,,,"{""seating"": [""seating""], ""landscaping"": [""planters""], ""trees"": [""tree""], ""bicycle parking"": [""bicycle""], ""obstruction"": [""obstructing"", ""spike""]}",2018-10,235 East 40th Street,Manhattan,1013147501,1037178
EA-201901-d5abdc5f8d,K020003,3001470004,3319418,1 METROTECH CENTER,Brooklyn,40.693222,-73.986719,,Commons and Public Areas,1990,24 Hours,Forest City Jay Street Assoc.,,1,2019,,signage,"owner of 1 Metrotech Center, Brooklyn, for a privately owned public space (POPS) with missing amenities and signage that failed to state the POPS is “open to the public.”",5000,"$5,000 in penalties issued to Forest City Jay Street Assoc., owner of 1 Metrotech Center, Brooklyn, for a privately owned public space (POPS) with missing amenities and signage that failed to state the POPS is “open to the public.”",https://www.nyc.gov/assets/buildings/pdf/0119_enforcement_action_bulletin.pdf,data/raw/dob_bulletins/2019/01.pdf,3,bbl,high,1.0,matched,bbl via geocode; address also agrees,pops_text_and_property_match,strong,privately owned public space;POPS;public space,auto_confirmed,,,,"{""signage"": [""signage""]}",2019-01,1 Metrotech Center,Brooklyn,3001470004,3319418
EA-201902-4c3b5f1775,M060057,1013280021,1038575,245 EAST 54 STREET,Manhattan,40.757849,-73.966795,Brevard,Plaza; Residential Plaza,1974,24 Hours; Restricted Hours,Bevard Owners Corp.,,2,2019,,trees;fountain / water feature;maintenance,"the owner of 245 East 54th Street, Manhattan, for a zoning violation due to a Privately Owned Public Space (POPS) that was found to be improperly maintained per the discretionary zoning agreement. The POPS was found to have a broken water feature and two dead trees",5000,"$5,000 in penalties issued to Bevard Owners Corp., the owner of 245 East 54th Street, Manhattan, for a zoning violation due to a Privately Owned Public Space (POPS) that was found to be improperly maintained per the discretionary zoning agreement. The POPS was found to have a broken water feature and two dead trees.",https://www.nyc.gov/assets/buildings/pdf/0219_enforcement_action_bulletin.pdf,data/raw/dob_bulletins/2019/02.pdf,2,bbl,high,1.0,matched,bbl via geocode; address also agrees,pops_text_and_property_match,strong,privately owned public space;POPS;public space;discretionary zoning,auto_confirmed,,,,"{""trees"": [""trees""], ""fountain / water feature"": [""water feature""], ""maintenance"": [""broken"", ""maintained""]}",2019-02,245 East 54th Street,Manhattan,1013280021,1038575
EA-201902-a0ffcc9121,M080049,1015330001,1048809,201 EAST 87 STREET,Manhattan,40.779615,-73.95284,Claridge House,Park; Plaza,1975,24 Hours,Clairidge House LLC,,2,2019,,seating;signage;obstruction,"the owner of 201 East 87th Street, Manhattan, for a zoning violation due to the conditions of the building’s POPS. The owners were found to have installed spikes on the seating areas of the POPS to prevent its use, and posted a plaque stating “private property permission to cross revocable at will.”",4000,"$4,000 in penalties issued to Clairidge House LLC, the owner of 201 East 87th Street, Manhattan, for a zoning violation due to the conditions of the building’s POPS. The owners were found to have installed spikes on the seating areas of the POPS to prevent its use, and posted a plaque stating “private property permission to cross revocable at will.”",https://www.nyc.gov/assets/buildings/pdf/0219_enforcement_action_bulletin.pdf,data/raw/dob_bulletins/2019/02.pdf,2,bbl,high,1.0,matched,bbl via geocode; address also agrees,pops_text_and_property_match,strong,POPS,auto_confirmed,,,,"{""seating"": [""seating""], ""signage"": [""plaque""], ""obstruction"": [""spike""]}",2019-02,201 East 87th Street,Manhattan,1015330001,1048809
EA-201903-804a3d5cf7,M060021,1009437501,1076166,330 EAST 38 STREET,Manhattan,40.746328,-73.97272,Corinthian,Residential Plaza,1987,24 Hours,The Corinthian Condominium,,3,2019,,landscaping;maintenance,"the owner of 330 East 38th Street, Manhattan, for a zoning violation due to a Privately Owned Public Space (POPS) that was found to be improperly maintained per the discretionary zoning agreement. The public plaza at the location had been found have deficient landscaping, broken bricks, and open electrical wiring",4000,"$4,000 in penalties issued to The Corinthian Condominium, the owner of 330 East 38th Street, Manhattan, for a zoning violation due to a Privately Owned Public Space (POPS) that was found to be improperly maintained per the discretionary zoning agreement. The public plaza at the location had been found have deficient landscaping, broken bricks, and open electrical wiring.",https://www.nyc.gov/assets/buildings/pdf/0319_enforcement_action_bulletin.pdf,data/raw/dob_bulletins/2019/03.pdf,3,bbl,high,1.0,matched,bbl via geocode; address also agrees,pops_text_and_property_match,strong,privately owned public space;POPS;public plaza;public space;discretionary zoning;plaza,auto_confirmed,,,,"{""landscaping"": [""landscaping""], ""maintenance"": [""broken"", ""electrical wiring"", ""maintained""]}",2019-03,330 East 38th Street,Manhattan,1009437501,1076166
EA-201903-8982fd5afd,M080066,1015647502,1073786,401 EAST 84 STREET,Manhattan,40.775565,-73.949915,Dunhill,Open Plaza,1987,24 Hours,The Dunhill Condominium,,3,2019,,trees;maintenance,"the owner of 401 East 84th Street, Manhattan, for a zoning violation due to a Privately Owned Public Space (POPS) that was found to be improperly maintained per the discretionary zoning agreement. The public plaza at the location was missing required trees and lampposts",4000,"$4,000 in penalties issued to The Dunhill Condominium, the owner of 401 East 84th Street, Manhattan, for a zoning violation due to a Privately Owned Public Space (POPS) that was found to be improperly maintained per the discretionary zoning agreement. The public plaza at the location was missing required trees and lampposts.",https://www.nyc.gov/assets/buildings/pdf/0319_enforcement_action_bulletin.pdf,data/raw/dob_bulletins/2019/03.pdf,3,bbl,high,1.0,matched,bbl via geocode; address also agrees,pops_text_and_property_match,strong,privately owned public space;POPS;public plaza;public space;discretionary zoning;plaza,auto_confirmed,,,,"{""trees"": [""trees""], ""maintenance"": [""lampposts"", ""maintained""]}",2019-03,401 East 84th Street,Manhattan,1015647502,1073786
EA-201903-b50d87e950,M080041,1015140008,1047928,111 EAST 85 STREET,Manhattan,40.779485,-73.956624,,Arcade; Plaza,1971,24 Hours,Kreisel Co. Inc.,,3,2019,,seating;landscaping;signage;maintenance;obstruction,"the owner of 111 East 85th Street, Manhattan for a zoning violation due to a Privately Owned Public Space (POPS) that was found to be improperly maintained per the discretionary zoning agreement. The public plaza at the location was missing required plantings or signage. In addition, metal spikes had been improperly installed on areas meant for seating",4000,"$4,000 in penalties issued to Kreisel Co. Inc., the owner of 111 East 85th Street, Manhattan for a zoning violation due to a Privately Owned Public Space (POPS) that was found to be improperly maintained per the discretionary zoning agreement. The public plaza at the location was missing required plantings or signage. In addition, metal spikes had been improperly installed on areas meant for seating.",https://www.nyc.gov/assets/buildings/pdf/0319_enforcement_action_bulletin.pdf,data/raw/dob_bulletins/2019/03.pdf,3,bbl,high,1.0,matched,bbl via geocode; address also agrees,pops_text_and_property_match,strong,privately owned public space;POPS;public plaza;public space;discretionary zoning;plaza,auto_confirmed,,,,"{""seating"": [""seating""], ""landscaping"": [""plantings""], ""signage"": [""signage""], ""maintenance"": [""maintained""], ""obstruction"": [""spike""]}",2019-03,111 East 85th Street,Manhattan,1015140008,1047928
EA-201903-1c30c5b079,M040014,1007027502,1091045,545 WEST 30 STREET,Manhattan,40.753267,-74.002841,Hudson Yards Eastern Rail Yards Subarea A1,'Covered Pedestrian Space'; Public Access Area,,,Sciame Construction LLC,Safety Registrant,3,2019,,other,"for failure to safeguard the construction site at 545 West 30th Street, Manhattan, after an unsecured cable wire rack fell from the site and injured a worker",25000,"$25,000 in penalties issued to Safety Registrant Sciame Construction LLC for failure to safeguard the construction site at 545 West 30th Street, Manhattan, after an unsecured cable wire rack fell from the site and injured a worker.",https://www.nyc.gov/assets/buildings/pdf/0319_enforcement_action_bulletin.pdf,data/raw/dob_bulletins/2019/03.pdf,3,bbl,high,1.0,matched,bbl via geocode; address also agrees,property_match_only,,,needs_review,,,,,2019-03,545 West 30th Street,Manhattan,1007027502,1091045
EA-201904-bf6079b963,M080044,1015230034,1087328,182 EAST 95 STREET,Manhattan,40.784371,-73.950341,Highgate,Residential Plaza,1980,24 Hours,P&S 95 Street Association,,4,2019,,seating;landscaping;fountain / water feature;maintenance;obstruction,"the owner of 182 East 95th Street, Manhattan, for a zoning violation due to a Privately Owned Public Space (POPS) that was found to be improperly maintained per the discretionary zoning agreement. The violating conditions included the installation of 670 feet of spikes on planters, which prevented seating, lack of required artwork, and a fountain that was not working",4000,"$4,000 in penalties issued to P&S 95 Street Association, the owner of 182 East 95th Street, Manhattan, for a zoning violation due to a Privately Owned Public Space (POPS) that was found to be improperly maintained per the discretionary zoning agreement. The violating conditions included the installation of 670 feet of spikes on planters, which prevented seating, lack of required artwork, and a fountain that was not working.",https://www.nyc.gov/assets/buildings/pdf/0419_enforcement_action_bulletin.pdf,data/raw/dob_bulletins/2019/04.pdf,2,bbl,high,1.0,matched,bbl via geocode; address also agrees,pops_text_and_property_match,strong,privately owned public space;POPS;public space;discretionary zoning,auto_confirmed,,,,"{""seating"": [""seating""], ""landscaping"": [""planters""], ""fountain / water feature"": [""fountain""], ""maintenance"": [""maintained"", ""not working""], ""obstruction"": [""spike""]}",2019-04,182 East 95th Street,Manhattan,1015230034,1087328
EA-201904-9a49b5395d,M060025,1009687501,1022060,630 1 AVENUE,Manhattan,40.745155,-73.971836,Manhattan Place,Residential Plaza,1984,24 Hours,Manhattan Place Condominium,,4,2019,,trees;fountain / water feature;bicycle parking;maintenance,"the owner of 630 1st Avenue, Manhattan, for a zoning violation due to a POPS that was found to be improperly maintained per the discretionary zoning agreement. The violating conditions included broken bike racks, and lack of required trees and fountains",5000,"$5,000 in penalties issued to Manhattan Place Condominium, the owner of 630 1st Avenue, Manhattan, for a zoning violation due to a POPS that was found to be improperly maintained per the discretionary zoning agreement. The violating conditions included broken bike racks, and lack of required trees and fountains.",https://www.nyc.gov/assets/buildings/pdf/0419_enforcement_action_bulletin.pdf,data/raw/dob_bulletins/2019/04.pdf,3,bbl,high,1.0,matched,bbl via geocode; address also agrees,pops_text_and_property_match,strong,POPS;discretionary zoning,auto_confirmed,,,,"{""trees"": [""trees""], ""fountain / water feature"": [""fountains""], ""bicycle parking"": [""bike rack""], ""maintenance"": [""broken"", ""maintained""]}",2019-04,630 1st Avenue,Manhattan,1009687501,1022060
EA-201905-92e673909c,M050065,1008897501,1087537,3 PARK AVENUE,Manhattan,40.746511,-73.981075,Three Park Avenue,Arcade; Plaza,1974,24 Hours,CO Three Park Avenue Building,,5,2019,,other,"the owner of 3 Park Avenue, Manhattan, for failure to provide required safety measures and overhead protection after filing a Local Law 11 Façade Inspection Safety Program (FISP) report that indicated that the building’s façade was unsafe",10000,"$10,000 in penalties issued to CO Three Park Avenue Building, the owner of 3 Park Avenue, Manhattan, for failure to provide required safety measures and overhead protection after filing a Local Law 11 Façade Inspection Safety Program (FISP) report that indicated that the building’s façade was unsafe.",https://www.nyc.gov/assets/buildings/pdf/0519_enforcement_action_bulletin.pdf,data/raw/dob_bulletins/2019/05.pdf,3,bbl,high,1.0,matched,bbl via geocode; address also agrees,property_match_only,,,needs_review,,,,,2019-05,3 Park Avenue,Manhattan,1008897501,1087537
EA-201905-ed30460e84,M080055,1015460001,1049916,303 EAST 83 STREET,Manhattan,40.776028,-73.952651,Camargue,Plaza,1977,24 Hours,Christopher Plati,,5,2019,,other,"the owner of 303 East 83rd Street, Manhattan, for making false statements regarding occupied housing in a rent-controlled or rent-stabilized building on three separate applications",7500,"$7,500 in total penalties issued to Christopher Plati, the owner of 303 East 83rd Street, Manhattan, for making false statements regarding occupied housing in a rent-controlled or rent-stabilized building on three separate applications.",https://www.nyc.gov/assets/buildings/pdf/0519_enforcement_action_bulletin.pdf,data/raw/dob_bulletins/2019/05.pdf,3,bbl,high,1.0,matched,bbl via geocode; address also agrees,property_match_only,,,needs_review,,,,,2019-05,303 East 83rd Street,Manhattan,1015460001,1049916
EA-201907-0327eea318,M080010,1014180045,1043866,200 EAST 64 STREET,Manhattan,40.764339,-73.964081,Carlton Towers,Plaza,1969,Restricted Hours,64th Street 3rd Ave Associates,,7,2019,,unauthorized design modification,"the owner of 200 East 64th Street, Manhattan, for making changes to a public plaza without getting the required approval from the NYC Department of City Planning",11250,"$11,250 in total penalties issued to 64th Street 3rd Ave Associates, the owner of 200 East 64th Street, Manhattan, for making changes to a public plaza without getting the required approval from the NYC Department of City Planning.",https://www.nyc.gov/assets/buildings/pdf/0719_enforcement_action_bulletin.pdf,data/raw/dob_bulletins/2019/07.pdf,2,bbl,high,1.0,matched,bbl via geocode; address also agrees,pops_text_and_property_match,moderate,public plaza;plaza,auto_confirmed,,,,"{""unauthorized design modification"": [""changes to a public plaza""]}",2019-07,200 East 64th Street,Manhattan,1014180045,1043866
EA-201912-a9e72ace8a,M050051,1008580008,1087326,10 EAST 29 STREET,Manhattan,40.744642,-73.986214,Madison Belvedere,Residential Plaza,1998,Restricted Hours,Gateway Belvedere LLC,,12,2019,,fountain / water feature;maintenance,"the owner of 10 East 29th Street, Manhattan, for failure to maintain a water fountain on the property’s Privately Owned Public Space, as required",5000,"$5,000 in penalties issued to Gateway Belvedere LLC, the owner of 10 East 29th Street, Manhattan, for failure to maintain a water fountain on the property’s Privately Owned Public Space, as required.",https://www.nyc.gov/assets/buildings/pdf/1219_enforcement_action_bulletin.pdf,data/raw/dob_bulletins/2019/12.pdf,2,bbl,high,1.0,matched,bbl via geocode; address also agrees,pops_text_and_property_match,strong,privately owned public space;public space,auto_confirmed,,,,"{""fountain / water feature"": [""fountain""], ""maintenance"": [""maintain""]}",2019-12,10 East 29th Street,Manhattan,1008580008,1087326
EA-202001-feabef4b89,M060014,1009070025,1019855,240 EAST 27 STREET,Manhattan,40.740247,-73.97964,Parc East Tower Apartments,Mini-Park; Public Open Area,1977,24 Hours; Restricted Hours,LLC EQR-East 27 Street Apartment LLC,,1,2020,,access / closure,"the owner of 240 East 27th Street, Manhattan, for improperly preventing public access to a Privately Owned Public Space (POPS), by padlocking the gates to the plaza",10000,"$10,000 in penalties issued to LLC EQR-East 27 Street Apartment LLC, the owner of 240 East 27th Street, Manhattan, for improperly preventing public access to a Privately Owned Public Space (POPS), by padlocking the gates to the plaza.",https://www.nyc.gov/assets/buildings/pdf/0120_enforcement_action_bulletin.pdf,data/raw/dob_bulletins/2020/01.pdf,3,bbl,high,1.0,matched,bbl via geocode; address also agrees,pops_text_and_property_match,strong,privately owned public space;POPS;public space;plaza,auto_confirmed,,,,"{""access / closure"": [""padlock"", ""preventing public access""]}",2020-01,240 East 27th Street,Manhattan,1009070025,1019855
EA-202002-57247f2dd9,M070029,1011710157,1089374,639 WEST 59 STREET,Manhattan,40.772677,-73.991804,Riverside Center,Public Access Area,,,Tishman Construction Corp.,Safety Registrant,2,2020,,other,"for not having a Site Safety Manager or Site Safety Coordinator on site at 639 West 59th Street, Manhattan, at the time of a DOB inspection. The work site log book at the location was also missing entries for the site safety professionals",10000,"$10,000 in penalties issued to Safety Registrant Tishman Construction Corp. for not having a Site Safety Manager or Site Safety Coordinator on site at 639 West 59th Street, Manhattan, at the time of a DOB inspection. The work site log book at the location was also missing entries for the site safety professionals.",https://www.nyc.gov/assets/buildings/pdf/0220_enforcement_action_bulletin.pdf,data/raw/dob_bulletins/2020/02.pdf,3,bin,high,0.9,matched,bin via geocode,property_match_only,,,needs_review,,,,,2020-02,639 West 59th Street,Manhattan,1011717515,1089374
EA-202002-6a3ff84a1b,M050112,1012927502,1088817,432 PARK AVENUE,Manhattan,40.7615,-73.971797,432 Park Avenue,Public Plaza,2017,24 Hours,MIP 57th Development Acquisition LLC,,2,2020,,signage,"the owner of 432 Park Avenue, Manhattan, for displaying an outdoor sign without a permit, failing to have a licensed sign hanger erect or attach the sign, and failing to attach the required UL decal to the sign. The sign, which faced both Park Avenue and East 56th Street, has since been removed",5625,"$5,625 in penalties were issued to MIP 57th Development Acquisition LLC, the owner of 432 Park Avenue, Manhattan, for displaying an outdoor sign without a permit, failing to have a licensed sign hanger erect or attach the sign, and failing to attach the required UL decal to the sign. The sign, which faced both Park Avenue and East 56th Street, has since been removed.",https://www.nyc.gov/assets/buildings/pdf/0220_enforcement_action_bulletin.pdf,data/raw/dob_bulletins/2020/02.pdf,3,bbl,high,1.0,matched,bbl via geocode; address also agrees,property_match_only,,,needs_review,,,,"{""signage"": [""sign""]}",2020-02,432 Park Avenue,Manhattan,1012927502,1088817
EA-202004-5c5d6171b9,M010037,1002160001,1082816,388 GREENWICH STREET,Manhattan,40.720865,-74.011003,Salomon Smith Barney,Plaza; Public Plaza,1986,24 Hours,Tishman Construction Corp.,Safety Registrant,4,2020,,other,"for failure to file two separate required incident reports within three days of two separate worker injury incidents at a construction site at 388 Greenwich Street, Manhattan. One worker was injured at the site after they tripped on an extension cord and was taken to the hospital. Another worker was injured during a delivery and taken to the hospital after they became caught between a piece of sheetrock being moved and a wall",10000,"$10,000 in total penalties issued to Safety Registrant Tishman Construction Corp. for failure to file two separate required incident reports within three days of two separate worker injury incidents at a construction site at 388 Greenwich Street, Manhattan. One worker was injured at the site after they tripped on an extension cord and was taken to the hospital. Another worker was injured during a delivery and taken to the hospital after they became caught between a piece of sheetrock being moved and a wall.",https://www.nyc.gov/assets/buildings/pdf/0420_enforcement_action_bulletin.pdf,data/raw/dob_bulletins/2020/04.pdf,2,bbl,high,1.0,matched,bbl via geocode; address also agrees,property_match_only,,,needs_review,,,,,2020-04,388 Greenwich Street,Manhattan,1002160001,1082816
EA-202005-18d307716c,M050093,1008840001,1018204,407 PARK AVENUE SOUTH,Manhattan,40.743374,-73.983627,Ascot,Residential Plaza,1984,Restricted Hours,"Ascot Owners, Inc.",,5,2020,,fountain / water feature;maintenance,"the owners of 407 Park Avenue, Manhattan, for a zoning violation due to a Privately Owned Public Space (POPS) that was found to be improperly maintained per the discretionary zoning agreement. DOB inspectors found a water fountain at the POPS was not functioning as required",5000,"$5,000 in penalties issued to Ascot Owners, Inc., the owners of 407 Park Avenue, Manhattan, for a zoning violation due to a Privately Owned Public Space (POPS) that was found to be improperly maintained per the discretionary zoning agreement. DOB inspectors found a water fountain at the POPS was not functioning as required.",https://www.nyc.gov/assets/buildings/pdf/0520_enforcement_action_bulletin.pdf,data/raw/dob_bulletins/2020/05.pdf,3,address_fuzzy,medium,0.704,matched,street suffix variant ('Park Avenue' ~ 'PARK AVENUE SOUTH'); building name 'Ascot' appears in the bulletin text,pops_text_and_property_match,strong,privately owned public space;POPS;public space;discretionary zoning,needs_review,,,,"{""fountain / water feature"": [""fountain""], ""maintenance"": [""maintained"", ""not functioning""]}",2020-05,407 Park Avenue,Manhattan,1013090069,1000000
EA-202005-aea37ed8e8,M080064,1015600001,1050360,401 EAST 80 STREET,Manhattan,40.773206,-73.951638,,Residential Plaza,1980,Restricted Hours,Resnick Gracie News LLC,,5,2020,,maintenance;unauthorized private use;unauthorized design modification,"the owners of 401 East 80th Street, Manhattan, for a zoning violation due to a Privately Owned Public Space (POPS) that was found to be improperly maintained per the discretionary zoning agreement. DOB inspectors found that design changes had been made to the POPS open air café without prior approval from the NYC Department of City Planning (DCP)",5000,"$5,000 in penalties issued to Resnick Gracie News LLC, the owners of 401 East 80th Street, Manhattan, for a zoning violation due to a Privately Owned Public Space (POPS) that was found to be improperly maintained per the discretionary zoning agreement. DOB inspectors found that design changes had been made to the POPS open air café without prior approval from the NYC Department of City Planning (DCP).",https://www.nyc.gov/assets/buildings/pdf/0520_enforcement_action_bulletin.pdf,data/raw/dob_bulletins/2020/05.pdf,3,bbl,high,1.0,matched,bbl via geocode; address also agrees,pops_text_and_property_match,strong,privately owned public space;POPS;public space;discretionary zoning;open air cafe,auto_confirmed,,,,"{""maintenance"": [""maintained""], ""unauthorized private use"": [""café""], ""unauthorized design modification"": [""design changes"", ""without prior approval""]}",2020-05,401 East 80th Street,Manhattan,1015600001,1050360
