bulletin_id,bulletin_month,bulletin_year,pdf_url,date_discovered,last_seen_on_index,local_filename,downloaded,downloaded_at,sha256,size_bytes,http_etag,http_last_modified,page_count,text_chars,has_text_layer,parsed,parsed_at,extraction_method,n_enforcement_actions,n_potential_pops_matches,index_label,label_month,label_year,label_conflict,filename_pattern_ok,still_on_index,processing_errors
2017-12,12,2017,https://www.nyc.gov/assets/buildings/pdf/1217_enforcement_action_bulletin.pdf,2026-09-20,2026-09-20,data/raw/dob_bulletins/2017/12.pdf,True,2026-09-20T19:29:36+00:00,adb73441ddbc5138e9607c9670993e250d30b9edc7b977bba64cd875a2a7b54d,130579,"""6a96f3b4-1fe13""","Tue, 01 Sep 2026 15:48:04 GMT",2,3915,True,True,2026-09-21T01:30:27+00:00,pdfplumber,6,0,Enforcement Action Bulletin: December 2017,12,2017,False,True,True,
2018-01,1,2018,https://www.nyc.gov/assets/buildings/pdf/0118_enforcement_action_bulletin.pdf,2026-09-20,2026-09-20,data/raw/dob_bulletins/2018/01.pdf,True,2026-09-20T19:29:36+00:00,674c06dd9f1bfb7bcbbabf17d4461dd8f4214218c87ac62536fcea75eb812d2a,125572,"""6a96f3ac-1ea84""","Tue, 01 Sep 2026 15:47:56 GMT",2,3966,True,True,2026-09-21T01:30:27+00:00,pdfplumber,8,0,Enforcement Action Bulletin: January 2018,1,2018,False,True,True,
2018-02,2,2018,https://www.nyc.gov/assets/buildings/pdf/0218_enforcement_action_bulletin.pdf,2026-09-20,2026-09-20,data/raw/dob_bulletins/2018/02.pdf,True,2026-09-20T19:29:37+00:00,6eb671d11df0c7ec0255cd2315465bec66d1f9b2b8820eacc2a80b569f616631,127368,"""6a96f3ac-1f188""","Tue, 01 Sep 2026 15:47:56 GMT",2,3544,True,True,2026-09-21T01:30:27+00:00,pdfplumber,8,0,Enforcement Action Bulletin: February 2018,2,2018,False,True,True,
2018-03,3,2018,https://www.nyc.gov/assets/buildings/pdf/0318_enforcement_action_bulletin.pdf,2026-09-20,2026-09-20,data/raw/dob_bulletins/2018/03.pdf,True,2026-09-20T19:29:37+00:00,1732b08fd775d534ce4300d5387330c55647ffa3d0e7cf96ed5220547dff5bf6,127850,"""6a96f3ad-1f36a""","Tue, 01 Sep 2026 15:47:57 GMT",2,4665,True,True,2026-09-21T01:30:27+00:00,pdfplumber,12,0,Enforcement Action Bulletin: March 2018,3,2018,False,True,True,
2018-04,4,2018,https://www.nyc.gov/assets/buildings/pdf/0418_enforcement_action_bulletin.pdf,2026-09-20,2026-09-20,data/raw/dob_bulletins/2018/04.pdf,True,2026-09-20T19:29:38+00:00,e952872779749d21605f69efcb5c22a41040128cb9ce1cbf9b7956409c0d77c9,127834,"""6a96f3ae-1f35a""","Tue, 01 Sep 2026 15:47:58 GMT",2,4390,True,True,2026-09-21T01:30:27+00:00,pdfplumber,12,1,Enforcement Action Bulletin: April 2018,4,2018,False,True,True,
2018-05,5,2018,https://www.nyc.gov/assets/buildings/pdf/0518_enforcement_action_bulletin.pdf,2026-09-20,2026-09-20,data/raw/dob_bulletins/2018/05.pdf,True,2026-09-20T19:29:39+00:00,d5760dadd49b849fb46e64bbe967db0fa2690d72244bd781e2ad4c8f115ecbac,127558,"""6a96f3af-1f246""","Tue, 01 Sep 2026 15:47:59 GMT",2,4290,True,True,2026-09-21T01:30:27+00:00,pdfplumber,12,0,Enforcement Action Bulletin: May 2018,5,2018,False,True,True,
2018-06,6,2018,https://www.nyc.gov/assets/buildings/pdf/0618_enforcement_action_bulletin.pdf,2026-09-20,2026-09-20,data/raw/dob_bulletins/2018/06.pdf,True,2026-09-20T19:29:39+00:00,011b0cff6e998fa5ae2f6e631fc00116dba7d4db5416757bf834d9d8e38f3de5,121750,"""6a96f3af-1db96""","Tue, 01 Sep 2026 15:47:59 GMT",2,4753,True,True,2026-09-21T01:30:27+00:00,pdfplumber,13,0,Enforcement Action Bulletin: June 2018,6,2018,False,True,True,
2018-07,7,2018,https://www.nyc.gov/assets/buildings/pdf/0718_enforcement_action_bulletin.pdf,2026-09-20,2026-09-20,data/raw/dob_bulletins/2018/07.pdf,True,2026-09-20T19:29:40+00:00,27d8e5a36f679d187c3ed4ab114e79df7488f8b9f51b9977fba60bb46e377389,278962,"""6a96f3b0-441b2""","Tue, 01 Sep 2026 15:48:00 GMT",4,9060,True,True,2026-09-21T01:30:27+00:00,pdfplumber,27,2,Enforcement Action Bulletin: July 2018,7,2018,False,True,True,
2018-08,8,2018,https://www.nyc.gov/assets/buildings/pdf/0818_enforcement_action_bulletin.pdf,2026-09-20,2026-09-20,data/raw/dob_bulletins/2018/08.pdf,True,2026-09-20T19:29:41+00:00,046d96f2a302db2d715bf180f4f378b5da8a00bd6d48784fde3184af4fb801b3,251279,"""6a96f3b1-3d58f""","Tue, 01 Sep 2026 15:48:01 GMT",5,8778,True,True,2026-09-21T01:30:27+00:00,pdfplumber,27,0,Enforcement Action Bulletin: August 2018,8,2018,False,True,True,
2018-09,9,2018,https://www.nyc.gov/assets/buildings/pdf/0918_enforcement_action_bulletin.pdf,2026-09-20,2026-09-20,data/raw/dob_bulletins/2018/09.pdf,True,2026-09-20T19:29:42+00:00,ce0fb2c55d1c389242024b2175e34c31002986b20e53b517678c2051ce2e771d,361813,"""6a96f3b2-58555""","Tue, 01 Sep 2026 15:48:02 GMT",4,6460,True,True,2026-09-21T01:30:27+00:00,pdfplumber,17,0,Enforcement Action Bulletin: September 2018,9,2018,False,True,True,
2018-10,10,2018,https://www.nyc.gov/assets/buildings/pdf/1018_enforcement_action_bulletin.pdf,2026-09-20,2026-09-20,data/raw/dob_bulletins/2018/10.pdf,True,2026-09-20T19:29:43+00:00,260889931d4afea238630c91419050483358436b411ab086c31f9b764d598648,252003,"""6a96f3b3-3d863""","Tue, 01 Sep 2026 15:48:03 GMT",7,13564,True,True,2026-09-21T01:30:27+00:00,pdfplumber,40,4,Enforcement Action Bulletin: October 2018,10,2018,False,True,True,
