review_id,issue_type,severity,status,enforcement_id,bulletin_id,pops_id_candidate,detail,suggested_candidates,source_pdf,source_page,enforcement_text_excerpt,detected_at
R-8f79e490df,pops_keyword_without_db_match,high,open,EA-202209-eb5c4a9b83,2022-09,,"POPS terminology (public pedestrian path) but no POPS-database match. Address extracted: '25-40 Shore Boulevard.' (Queens); geocode: ok. Possible causes: POPS missing from DCP data, DOB address error, or not a POPS.",,data/raw/dob_bulletins/2022/09.pdf,5,"$1,250 in penalties issued to Shore Towers Condominium Metropolitan Pacific Property for violations recorded at 25-40 Shore Boulevard. Violation issued for padlocking and attaching signage stating “Please Walk Bicycles” to a public pedestrian/bike path that is supposed to be maintained for public access.",2026-09-21T01:30:30+00:00
R-7854d10a26,pops_keyword_without_db_match,high,open,EA-202305-f799a55329,2023-05,,"POPS terminology (privately owned public space;public space) but no POPS-database match. Address extracted: '200 West 24th Street.' (Manhattan); geocode: ok. Possible causes: POPS missing from DCP data, DOB address error, or not a POPS.","M060012 (Crystal House, 200 EAST 24 STREET) [building name in text] | M060015 (200 EAST 33 STREET) [same house number, similar street name] | M060085 (200 EAST 32 STREET) [same house number, similar street name] | M070005 (200 WEST 79 STREET) [same house number, similar street name]",data/raw/dob_bulletins/2023/05.pdf,3,"$5,000 in penalties issued to Crystal House Owners Inc. for violations recorded at 200 West 24th Street. DOB inspectors issued violations to the owners of the Privately Owned Public Space on the property for affixing 200 feet of linear spokes to planters to prevent seating, which was contrary to plans.",2026-09-21T01:30:30+00:00
R-dd63944bf6,pops_keyword_without_db_match,high,open,EA-202308-7d72ed8638,2023-08,,"POPS terminology (privately owned public space;POPS;public space) but no POPS-database match. Address extracted: '341 East 6th St.' (Manhattan); geocode: ok. Possible causes: POPS missing from DCP data, DOB address error, or not a POPS.",,data/raw/dob_bulletins/2023/08.pdf,4,"$10,000 in penalties issued to 341 East 6th Street LLC for violations recorded at 341 East 6th St. DOB inspectors issued violations to the owner of the Privately Owned Public Space (POPS) for blocking access to the public with a fence.",2026-09-21T01:30:30+00:00
R-fb9c63453e,borough_conflict,medium,open,EA-201911-e1d4f9599a,2019-11,,borough in text differs from bulletin section header,,data/raw/dob_bulletins/2019/11.pdf,4,"$10,000 in penalties issued to Construction Superintendent Isaac Stern for failure to perform his required duties on a construction site, after DOB inspectors observed unsafe storage of gasoline and an improperly installed construction fence at 51 Veronica Place, Brooklyn.",2026-09-21T01:30:30+00:00
R-14c26de5ff,comptroller_audit_link,medium,open,,,,audit row 79 '774 Sixth Avenue' (status No): no_match via none/none,,data/raw/comptroller/SR16_102A.pdf,37,,2026-09-21T01:30:30+00:00
R-50fe11a835,comptroller_audit_link,medium,open,,,M060066,audit row 218 '100 United Nations Plaza/871 United Nations Plaza' (status Yes): matched via address_exact/medium,,data/raw/comptroller/SR16_102A.pdf,40,,2026-09-21T01:30:30+00:00
R-bd3c9b20e1,comptroller_audit_link,medium,open,,,K020003,audit row 329 'MetroTech Center' (status No): matched via street_only/low,,data/raw/comptroller/SR16_102A.pdf,43,,2026-09-21T01:30:30+00:00
R-f60777af81,db_match_without_pops_terms,medium,open,EA-201804-170198e0d7,2018-04,M070027,"Property is a POPS building but the paragraph does not mention POPS; the violation may concern the building, not the public space. Match: bbl/high",,data/raw/dob_bulletins/2018/04.pdf,1,"$28,000 in penalties issued to building owner Thomas Brodsky for filing false statements on six separate PW-1 applications for properties in Manhattan, including 1801 2nd Avenue, 154 West 71st Street, 124 West 60th Street, and 75 West End Avenue, concerning whether or not the building is occupied.",2026-09-21T01:30:30+00:00
R-819461af21,db_match_without_pops_terms,medium,open,EA-201807-b98c41f6ab,2018-07,M060074,"Property is a POPS building but the paragraph does not mention POPS; the violation may concern the building, not the public space. Match: bbl/high",,data/raw/dob_bulletins/2018/07.pdf,2,"$25,000 in penalties issued to General Contractor Vector Building Corp. where a worker was injured after falling one story through a hole in the floor at a construction site at 415 East 53rd Street, Manhattan.",2026-09-21T01:30:30+00:00
R-202ec9be85,db_match_without_pops_terms,medium,open,EA-201810-4e7cb422af,2018-10,M010044,"Property is a POPS building but the paragraph does not mention POPS; the violation may concern the building, not the public space. Match: bbl/high",,data/raw/dob_bulletins/2018/10.pdf,2,"$10,000 in penalties issued to contractor Universal Builders Supply, at 1 Wall Street, Manhattan, for a failure to safeguard their construction site, after a worker assisting scaffold installation was injured on the 28th floor, and it was determined that no “tool box talks” had been held prior.",2026-09-21T01:30:30+00:00
R-7f7ef4b609,db_match_without_pops_terms,medium,open,EA-201903-1c30c5b079,2019-03,M040014,"Property is a POPS building but the paragraph does not mention POPS; the violation may concern the building, not the public space. Match: bbl/high",,data/raw/dob_bulletins/2019/03.pdf,3,"$25,000 in penalties issued to Safety Registrant Sciame Construction LLC for failure to safeguard the construction site at 545 West 30th Street, Manhattan, after an unsecured cable wire rack fell from the site and injured a worker.",2026-09-21T01:30:30+00:00
R-80584df43e,db_match_without_pops_terms,medium,open,EA-201905-92e673909c,2019-05,M050065,"Property is a POPS building but the paragraph does not mention POPS; the violation may concern the building, not the public space. Match: bbl/high",,data/raw/dob_bulletins/2019/05.pdf,3,"$10,000 in penalties issued to CO Three Park Avenue Building, the owner of 3 Park Avenue, Manhattan, for failure to provide required safety measures and overhead protection after filing a Local Law 11 Façade Inspection Safety Program (FISP) report that indicated that the building’s façade was unsafe.",2026-09-21T01:30:30+00:00
R-8f9f46a0d2,db_match_without_pops_terms,medium,open,EA-201905-ed30460e84,2019-05,M080055,"Property is a POPS building but the paragraph does not mention POPS; the violation may concern the building, not the public space. Match: bbl/high",,data/raw/dob_bulletins/2019/05.pdf,3,"$7,500 in total penalties issued to Christopher Plati, the owner of 303 East 83rd Street, Manhattan, for making false statements regarding occupied housing in a rent-controlled or rent-stabilized building on three separate applications.",2026-09-21T01:30:30+00:00
R-d192eb58ce,db_match_without_pops_terms,medium,open,EA-202002-57247f2dd9,2020-02,M070029,"Property is a POPS building but the paragraph does not mention POPS; the violation may concern the building, not the public space. Match: bin/high",,data/raw/dob_bulletins/2020/02.pdf,3,"$10,000 in penalties issued to Safety Registrant Tishman Construction Corp. for not having a Site Safety Manager or Site Safety Coordinator on site at 639 West 59th Street, Manhattan, at the time of a DOB inspection. The work site log book at the location was also missing entries for the site safety professionals.",2026-09-21T01:30:30+00:00
