pops_id,total_actions,tierA,tierB,tierC,first,last,penalties,address_normalized,building_name,year_established
K020003,2,2,0,0,2019-01,2022-10,10000.0,1 METROTECH CENTER,,1990
M050110,2,2,0,0,2021-05,2022-09,20000.0,835 6 AVENUE,Hotel Eventi,2010
M080034,2,2,0,0,2022-06,2022-07,20000.0,50 EAST 89 STREET,Park Regis,1974
M080049,2,2,0,0,2019-02,2023-12,9000.0,201 EAST 87 STREET,Claridge House,1975
M050021,2,1,0,1,2023-11,2026-03,35000.0,1345 6 AVENUE,Alliance Capital,1968
M080055,2,1,0,1,2019-05,2020-08,12500.0,303 EAST 83 STREET,Camargue,1977
K010003,2,0,0,2,2022-03,2023-07,12500.0,316 KENT AVENUE,Domino Sugar Factory,
M010044,2,0,0,2,2018-10,2022-06,40000.0,1 WALL STREET,Bank of New York,1964
M070027,2,0,0,2,2018-04,2022-01,94250.0,75 WEST END AVENUE,West End Towers,1993
M070029,2,0,0,2,2020-02,2020-10,20000.0,639 WEST 59 STREET,Riverside Center,
