entity,actions,example_name,pops,penalties
forest city jay street,2,Forest City Jay Street Assoc.,K020003,10000.0
835 avenue of americas,2,835 Avenue of the Americas Condominium,M050110,20000.0
123 washington,1,123 Washington LLC,M010051,5000.0
eqr east 27 street apartment,1,LLC EQR-East 27 Street Apartment LLC,M060014,10000.0
fifth avenue bhs ms mnt,1,Fifth Avenue Condo BHS MS MNT,M050062,10000.0
flushing commons property,1,Flushing Commons Property Owner LLC,Q070001,5000.0
gateway belvedere,1,Gateway Belvedere LLC,M050051,5000.0
green w 57th street,1,Green W.57th Street LLC,M040001,12000.0
john hancock insurance,1,"John Hancock Insurance, Co.",M010007,5000.0
kreisel,1,Kreisel Co. Inc.,M080041,4000.0
manhattan place,1,Manhattan Place Condominium,M060025,5000.0
millrock,1,Millrock Owner Corp.,M080061,5000.0
p s 95 street,1,P&S 95 Street Association,M080044,4000.0
park regis apt charles h,1,Park Regis Apt Corp Charles H,M080034,5000.0
park towers tenants,1,Park Towers Tenants Corp,M060011,5000.0
resnick gracie news,1,Resnick Gracie News LLC,M080064,5000.0
s greental park regis apt,1,S Greental Co Park Regis Apt Corp,M080034,15000.0
setai residency,1,The Setai Condominium Residency,M010018,10000.0
tishman speyer archstone smith,1,Tishman Speyer Archstone-Smith,M080055,5000.0
vanderbilt,1,Vanderbilt Condo,M060038,4000.0
wallace stratford ctr,1,Wallace Stratford Ctr.,M050079,10000.0
f i t student housing,1,F.I.T Student Housing Corp,M050017,10000.0
dunhill,1,The Dunhill Condominium,M080066,4000.0
1345 leasehold,1,1345 Leasehold LLC,M050021,5000.0
corinthian,1,The Corinthian Condominium,M060021,4000.0
1616 first,1,1616 First Company,M080094,5000.0
17 state,1,17 State Owner LLC,M010031,4000.0
1809 emmons avenue development,1,1809 Emmons Avenue Development LLC,K150001,10000.0
2 gold street,1,2 Gold Street,M010050,12500.0
200 210 e 65th,1,200-210 E 65th Condo,M080012,5000.0
418 east 59th,1,418 East 59th Owners Corp,M060081,5000.0
45 broadway,1,45 Broadway LLC,M010022,5000.0
55 broadway,1,55 Broadway Associates LLC,M010020,5000.0
64th street 3rd ave,1,64th Street 3rd Ave Associates,M080010,11250.0
805 third new york,1,805 Third New York LLC,M060051,5000.0
80th realty,1,80th Realty LLC,M080072,5000.0
bel canto,1,Bel Canto Condominium Association,M070024,4000.0
bevard,1,Bevard Owners Corp.,M060057,5000.0
chelsea new york realty,1,Chelsea New York Realty Company,M050107,10000.0
clairidge house,1,Clairidge House LLC,M080049,4000.0
claridge house,1,Claridge House LLC,M080049,5000.0
colonade maxwell kates,1,"The Colonade Condominium c/o Maxwell Kates, Inc.",M040002,12800.0
wwp holding,1,WWP Holding LLC,M040004,5000.0
