audit_row,audit_address,audit_status_raw,audit_pdf_page,pops_id,match_candidates,match_status,match_method,match_confidence,needs_manual_review,comptroller_2017_inspected,comptroller_2017_compliant,comptroller_2017_findings,comptroller_2017_findings_source
1,101 Barclay Street,No,35,M010002,M010002,matched,address_exact,high,False,True,no,"[p.21] Zoning Resolution. By failing to perform pro-active inspections, DOB has allowed non-compliance to continue for years without consequence. The POPS location at 101 Barclay Street in Manhattan is one example of a POPS location where no signage or amenities are required but where public access has been denied and no complaints have been made to DOB. The photograph below shows that POPS location as closed to the public. The property owne || [p.22] ibited from further entry into the building’s lobby, notwithstanding the fact that it is a POPS location and so a public space. Privately Owned Public Space at 101 Barclay Street At the time of the auditors visit to the location on July 20, 2016, building security informed the auditors that this lobby has been closed to the public for at least 15 years and is only open to Bank of New York staff. Auditors were not allowed to take any f || [p.23] prominently posted on the door that stated that the lobby is private property and intended for use only by employees and invited guests. However, the owner of 101 Barclay Street in Manhattan received a permit allowing modification of height and setback regulations in the building in exchange for providing a public lobby. While the owner has failed to provide the required public lobby, DOB has not issued any violations. Without schedu","SR16-102A (2017-04-18), https://comptroller.nyc.gov/wp-content/uploads/documents/SR16_102A.pdf"
2,130 Liberty Street,Construction,35,M010003,M010003,matched,address_exact,high,False,True,construction,,"SR16-102A (2017-04-18), https://comptroller.nyc.gov/wp-content/uploads/documents/SR16_102A.pdf"
3,1 Liberty Plaza,No,35,M010004,M010004,matched,address_exact,high,False,True,no,,"SR16-102A (2017-04-18), https://comptroller.nyc.gov/wp-content/uploads/documents/SR16_102A.pdf"
4,140 Broadway,No,35,M010005,M010005,matched,address_exact,high,False,True,no,,"SR16-102A (2017-04-18), https://comptroller.nyc.gov/wp-content/uploads/documents/SR16_102A.pdf"
5,33 Maiden Lane,Yes,35,M010006,M010006,matched,address_exact,high,False,True,yes,,"SR16-102A (2017-04-18), https://comptroller.nyc.gov/wp-content/uploads/documents/SR16_102A.pdf"
6,100 William Street,No,35,M010007,M010007,matched,address_exact,high,False,True,no,,"SR16-102A (2017-04-18), https://comptroller.nyc.gov/wp-content/uploads/documents/SR16_102A.pdf"
7,200 Water Street,No,35,M010008,M010008,matched,address_exact,high,False,True,no,,"SR16-102A (2017-04-18), https://comptroller.nyc.gov/wp-content/uploads/documents/SR16_102A.pdf"
8,180 Water Street,Construction,35,M010009,M010009,matched,address_exact,high,False,True,construction,,"SR16-102A (2017-04-18), https://comptroller.nyc.gov/wp-content/uploads/documents/SR16_102A.pdf"
9,88 Pine Street,No,35,M010010,M010010,matched,address_exact,high,False,True,no,,"SR16-102A (2017-04-18), https://comptroller.nyc.gov/wp-content/uploads/documents/SR16_102A.pdf"
10,175 East 96th Street,No,35,M110001,M110001,matched,address_exact,high,False,True,no,"[p.12] ements. As an illustration of the types of violations we found, the following are three examples of non- complying conditions found at a single POPS located at 175 East 96th Street in Manhattan as seen in photographs taken on July 18, 2016. DOB officials agreed with our auditors that the conditions shown in these photos violated City regulations. Office of New York City Comptroller Scott M. Stringer SR16-102A 9 || [p.13] Privately Owned Public Space at 175 East 96th Street, Manhattan The POPS at 175 East 96th Street is a Residential Plaza intended for public use but as can be seen in the photo below, a Members Only sign has been posted on the site, which indicates that the area is not open to the public. As reflected in this ne || [p.13] Privately Owned Public Space at 175 East 96th Street, Manhattan The POPS at 175 East 96th Street is a Residential Plaza intended for public use but as can be seen in the photo below, a Members Only sign has been posted on the site, which indicates that the area is not open to the public. As reflected in this next photograph below, we also saw that variou","SR16-102A (2017-04-18), https://comptroller.nyc.gov/wp-content/uploads/documents/SR16_102A.pdf"
11,180 Maiden Lane,No,35,M010011,M010011,matched,address_exact,high,False,True,no,,"SR16-102A (2017-04-18), https://comptroller.nyc.gov/wp-content/uploads/documents/SR16_102A.pdf"
12,110 Wall Street,Construction,35,M010012,M010012,matched,address_exact,high,False,True,construction,,"SR16-102A (2017-04-18), https://comptroller.nyc.gov/wp-content/uploads/documents/SR16_102A.pdf"
13,100 Wall Street,No,35,M010013,M010013,matched,address_exact,high,False,True,no,,"SR16-102A (2017-04-18), https://comptroller.nyc.gov/wp-content/uploads/documents/SR16_102A.pdf"
14,95 Wall Street,Yes,35,M010014,M010014,matched,address_exact,high,False,True,yes,,"SR16-102A (2017-04-18), https://comptroller.nyc.gov/wp-content/uploads/documents/SR16_102A.pdf"
15,111 Wall Street,Yes,35,M010015,M010015,matched,address_exact,high,False,True,yes,,"SR16-102A (2017-04-18), https://comptroller.nyc.gov/wp-content/uploads/documents/SR16_102A.pdf"
16,77 Water Street,Yes,35,M010016,M010016,matched,address_exact,high,False,True,yes,,"SR16-102A (2017-04-18), https://comptroller.nyc.gov/wp-content/uploads/documents/SR16_102A.pdf"
17,86 Water Street,No,35,M010017,M010017,matched,address_exact,high,False,True,no,,"SR16-102A (2017-04-18), https://comptroller.nyc.gov/wp-content/uploads/documents/SR16_102A.pdf"
18,40 Broad Street,Construction,35,M010018,M010018,matched,address_exact,high,False,True,construction,,"SR16-102A (2017-04-18), https://comptroller.nyc.gov/wp-content/uploads/documents/SR16_102A.pdf"
19,55 Broad Street,No,35,M010019,M010019,matched,address_exact,high,False,True,no,,"SR16-102A (2017-04-18), https://comptroller.nyc.gov/wp-content/uploads/documents/SR16_102A.pdf"
20,55 Broadway,No,35,M010020,M010020,matched,address_exact,high,False,True,no,,"SR16-102A (2017-04-18), https://comptroller.nyc.gov/wp-content/uploads/documents/SR16_102A.pdf"
21,52 Broadway,No,35,M010021,M010021,matched,address_exact,high,False,True,no,,"SR16-102A (2017-04-18), https://comptroller.nyc.gov/wp-content/uploads/documents/SR16_102A.pdf"
22,45 Broadway,No,35,M010022,M010022,matched,address_exact,high,False,True,no,,"SR16-102A (2017-04-18), https://comptroller.nyc.gov/wp-content/uploads/documents/SR16_102A.pdf"
23,90 Washington Street,No,35,M010023,M010023,matched,address_exact,high,False,True,no,,"SR16-102A (2017-04-18), https://comptroller.nyc.gov/wp-content/uploads/documents/SR16_102A.pdf"
24,7 Hanover Square,No,35,M010024,M010024,matched,address_exact,high,False,True,no,,"SR16-102A (2017-04-18), https://comptroller.nyc.gov/wp-content/uploads/documents/SR16_102A.pdf"
25,55 Water Street,No,35,M010025,M010025,matched,address_exact,high,False,True,no,,"SR16-102A (2017-04-18), https://comptroller.nyc.gov/wp-content/uploads/documents/SR16_102A.pdf"
26,125 Broad Street,Yes,35,M010026,M010026,matched,address_exact,high,False,True,yes,,"SR16-102A (2017-04-18), https://comptroller.nyc.gov/wp-content/uploads/documents/SR16_102A.pdf"
27,115 Broad Street,No,35,M010027,M010027,matched,address_exact,high,False,True,no,,"SR16-102A (2017-04-18), https://comptroller.nyc.gov/wp-content/uploads/documents/SR16_102A.pdf"
28,85 Broad Street,No,35,M010028,M010028,matched,address_exact,high,False,True,no,,"SR16-102A (2017-04-18), https://comptroller.nyc.gov/wp-content/uploads/documents/SR16_102A.pdf"
29,1 New York Plaza,Construction,35,M010029,M010029,matched,address_exact,high,False,True,construction,,"SR16-102A (2017-04-18), https://comptroller.nyc.gov/wp-content/uploads/documents/SR16_102A.pdf"
30,1 State Street,Construction,35,M010030,M010030,matched,address_exact,high,False,True,construction,,"SR16-102A (2017-04-18), https://comptroller.nyc.gov/wp-content/uploads/documents/SR16_102A.pdf"
31,17 State Street,No,35,M010031,M010031,matched,address_exact,high,False,True,no,,"SR16-102A (2017-04-18), https://comptroller.nyc.gov/wp-content/uploads/documents/SR16_102A.pdf"
32,1 Battery Park Plaza,Yes,35,M010032,M010032,matched,address_exact,high,False,True,yes,,"SR16-102A (2017-04-18), https://comptroller.nyc.gov/wp-content/uploads/documents/SR16_102A.pdf"
33,160 Water Street,No,35,M010033,M010033,matched,address_exact,high,False,True,no,,"SR16-102A (2017-04-18), https://comptroller.nyc.gov/wp-content/uploads/documents/SR16_102A.pdf"
34,32 Old Slip,No,35,M010034,M010034,matched,address_exact,high,False,True,no,,"SR16-102A (2017-04-18), https://comptroller.nyc.gov/wp-content/uploads/documents/SR16_102A.pdf"
35,388 Greenwich Street,Construction,35,M010037,M010037,matched,address_exact,high,False,True,construction,,"SR16-102A (2017-04-18), https://comptroller.nyc.gov/wp-content/uploads/documents/SR16_102A.pdf"
36,10 Liberty Street,Yes,35,M010038,M010038,matched,address_exact,high,False,True,yes,,"SR16-102A (2017-04-18), https://comptroller.nyc.gov/wp-content/uploads/documents/SR16_102A.pdf"
37,59 Maiden Lane,Yes,35,M010040,M010040,matched,address_exact,high,False,True,yes,,"SR16-102A (2017-04-18), https://comptroller.nyc.gov/wp-content/uploads/documents/SR16_102A.pdf"
38,175 Water Street,No,36,M010041,M010041,matched,address_exact,high,False,True,no,,"SR16-102A (2017-04-18), https://comptroller.nyc.gov/wp-content/uploads/documents/SR16_102A.pdf"
39,17 Battery Place,No,36,M010042,M010042,matched,address_exact,high,False,True,no,,"SR16-102A (2017-04-18), https://comptroller.nyc.gov/wp-content/uploads/documents/SR16_102A.pdf"
40,40 Rector Street,No,36,M010043,M010043,matched,address_exact,high,False,True,no,,"SR16-102A (2017-04-18), https://comptroller.nyc.gov/wp-content/uploads/documents/SR16_102A.pdf"
41,1 Wall Street,Construction,36,M010044,M010044,matched,address_exact,high,False,True,construction,,"SR16-102A (2017-04-18), https://comptroller.nyc.gov/wp-content/uploads/documents/SR16_102A.pdf"
42,75 Wall Street,No,36,M010045,M010045,matched,address_exact,high,False,True,no,,"SR16-102A (2017-04-18), https://comptroller.nyc.gov/wp-content/uploads/documents/SR16_102A.pdf"
43,60 Wall Street,No,36,M010046,M010046,matched,address_exact,high,False,True,no,,"SR16-102A (2017-04-18), https://comptroller.nyc.gov/wp-content/uploads/documents/SR16_102A.pdf"
44,55 Church Street,No,36,M010047,M010047,matched,address_exact,high,False,True,no,,"SR16-102A (2017-04-18), https://comptroller.nyc.gov/wp-content/uploads/documents/SR16_102A.pdf"
45,105 Duane Street,Construction,36,M010048,M010048,matched,address_exact,high,False,True,construction,,"SR16-102A (2017-04-18), https://comptroller.nyc.gov/wp-content/uploads/documents/SR16_102A.pdf"
46,15 Cliff Street,No,36,M010049,M010049,matched,address_exact,high,False,True,no,,"SR16-102A (2017-04-18), https://comptroller.nyc.gov/wp-content/uploads/documents/SR16_102A.pdf"
47,2 Gold Street,No,36,M010050,M010050,matched,address_exact,high,False,True,no,"[p.26] us no violation was warranted, when in fact the location was a POPS. In one case, a complaint was received on September 21, 2015 that an urban plaza located at 2 Gold Street in Manhattan had no times of public access posted for the plaza. The complainant reported being told to leave the plaza by the manager of a restaurant located at 2 Gold Street. On January 27, 2016 a DOB inspector recorded the disposition as “complaint unsubst || [p.26] Manhattan had no times of public access posted for the plaza. The complainant reported being told to leave the plaza by the manager of a restaurant located at 2 Gold Street. On January 27, 2016 a DOB inspector recorded the disposition as “complaint unsubstantiated based on department records.” The comment underneath the disposition was “No Privately Owned Public Space @ Premise.” However, according to DCP’s Public Space Records, || [p.26] department records.” The comment underneath the disposition was “No Privately Owned Public Space @ Premise.” However, according to DCP’s Public Space Records, 2 Gold Street is indeed a POPS with an Urban Plaza that was built in 2005.9 The required amenities include seating, artwork, planting and 3 informational plaques. The inspector was apparently unaware that the POPS existed. Our inspection of this site on July 12, 2016 (see","SR16-102A (2017-04-18), https://comptroller.nyc.gov/wp-content/uploads/documents/SR16_102A.pdf"
48,123 Washington Street,No,36,M010051,M010051,matched,address_exact,high,False,True,no,,"SR16-102A (2017-04-18), https://comptroller.nyc.gov/wp-content/uploads/documents/SR16_102A.pdf"
49,8 Spruce Street,No,36,M010053,M010053,matched,address_exact,high,False,True,no,,"SR16-102A (2017-04-18), https://comptroller.nyc.gov/wp-content/uploads/documents/SR16_102A.pdf"
50,375 Pearl Street,Construction,36,M010058,M010058,matched,address_exact,high,False,True,construction,,"SR16-102A (2017-04-18), https://comptroller.nyc.gov/wp-content/uploads/documents/SR16_102A.pdf"
51,376 Broadway,No,36,M010059,M010059,matched,address_exact,high,False,True,no,,"SR16-102A (2017-04-18), https://comptroller.nyc.gov/wp-content/uploads/documents/SR16_102A.pdf"
52,60 East 8th Street,Yes,36,M020001,M020001,matched,address_exact,high,False,True,yes,,"SR16-102A (2017-04-18), https://comptroller.nyc.gov/wp-content/uploads/documents/SR16_102A.pdf"
53,300 Mercer Street,Yes,36,M020002,M020002,matched,address_exact,high,False,True,yes,,"SR16-102A (2017-04-18), https://comptroller.nyc.gov/wp-content/uploads/documents/SR16_102A.pdf"
54,375 Hudson Street,Yes,36,M020003,M020003,matched,address_exact,high,False,True,yes,,"SR16-102A (2017-04-18), https://comptroller.nyc.gov/wp-content/uploads/documents/SR16_102A.pdf"
55,99 Jane Street,No,36,M020004,M020004,matched,address_exact,high,False,True,no,,"SR16-102A (2017-04-18), https://comptroller.nyc.gov/wp-content/uploads/documents/SR16_102A.pdf"
56,246 Spring Street,Yes,36,M020006,M020006,matched,address_exact,high,False,True,yes,,"SR16-102A (2017-04-18), https://comptroller.nyc.gov/wp-content/uploads/documents/SR16_102A.pdf"
57,26 Astor Place,Yes,36,M020007,M020007,matched,address_exact,high,False,True,yes,"[p.8] n New York City.2 Below is an example of one of the many POPS in New York City, as seen in a photograph taken on July 13, 2016. Privately Owned Public Space at 26 Astor Place, Manhattan Two different City agencies oversee aspects of developers’ compliance with their POPS agreements: the New York City Department of Buildings and the New York City Department of City Planning. Among other things, DOB enforces the City’s Building Code","SR16-102A (2017-04-18), https://comptroller.nyc.gov/wp-content/uploads/documents/SR16_102A.pdf"
58,51 Astor Place,Yes,36,M030001,M030001,matched,address_exact,high,False,True,yes,,"SR16-102A (2017-04-18), https://comptroller.nyc.gov/wp-content/uploads/documents/SR16_102A.pdf"
59,555 West 57th Street,Yes,36,M040001,M040001,matched,address_exact,high,False,True,yes,,"SR16-102A (2017-04-18), https://comptroller.nyc.gov/wp-content/uploads/documents/SR16_102A.pdf"
60,347 West 57th Street,No,36,M040002,M040002,matched,address_exact,high,False,True,no,,"SR16-102A (2017-04-18), https://comptroller.nyc.gov/wp-content/uploads/documents/SR16_102A.pdf"
61,322 West 57th Street,No,36,M040003,M040003,matched,address_exact,high,False,True,no,,"SR16-102A (2017-04-18), https://comptroller.nyc.gov/wp-content/uploads/documents/SR16_102A.pdf"
62,825 Eighth Avenue,No,36,M040004,M040004,matched,address_exact,high,False,True,no,,"SR16-102A (2017-04-18), https://comptroller.nyc.gov/wp-content/uploads/documents/SR16_102A.pdf"
63,330 West 56th Street,No,36,M040007,M040007,matched,address_exact,high,False,True,no,,"SR16-102A (2017-04-18), https://comptroller.nyc.gov/wp-content/uploads/documents/SR16_102A.pdf"
64,1000 Tenth Avenue,Yes,36,M040008,M040008,matched,address_exact,high,False,True,yes,,"SR16-102A (2017-04-18), https://comptroller.nyc.gov/wp-content/uploads/documents/SR16_102A.pdf"
65,36 Central Park South,Yes,36,M050002,M050002,matched,address_exact,high,False,True,yes,,"SR16-102A (2017-04-18), https://comptroller.nyc.gov/wp-content/uploads/documents/SR16_102A.pdf"
66,767 Fifth Avenue,No,36,M050003,M050003,matched,address_exact,high,False,True,no,,"SR16-102A (2017-04-18), https://comptroller.nyc.gov/wp-content/uploads/documents/SR16_102A.pdf"
67,500 Park Avenue,Yes,36,M050004,M050004,matched,address_exact,high,False,True,yes,,"SR16-102A (2017-04-18), https://comptroller.nyc.gov/wp-content/uploads/documents/SR16_102A.pdf"
68,499 Park Avenue,Yes,36,M050005,M050005,matched,address_exact,high,False,True,yes,,"SR16-102A (2017-04-18), https://comptroller.nyc.gov/wp-content/uploads/documents/SR16_102A.pdf"
69,110 East 59th Street,Yes,36,M050006,M050006,matched,address_exact,high,False,True,yes,,"SR16-102A (2017-04-18), https://comptroller.nyc.gov/wp-content/uploads/documents/SR16_102A.pdf"
70,115 East 57th Street,No,36,M050007,M050007,matched,address_exact,high,False,True,no,,"SR16-102A (2017-04-18), https://comptroller.nyc.gov/wp-content/uploads/documents/SR16_102A.pdf"
71,9 West 57th Street,No,36,M050008,M050008,matched,address_exact,high,False,True,no,,"SR16-102A (2017-04-18), https://comptroller.nyc.gov/wp-content/uploads/documents/SR16_102A.pdf"
72,58 West 58th Street,No,36,M050009,M050009,matched,address_exact,high,False,True,no,,"SR16-102A (2017-04-18), https://comptroller.nyc.gov/wp-content/uploads/documents/SR16_102A.pdf"
73,211 West 56th Street,Construction,36,M050010,M050010,matched,address_exact,high,False,True,construction,,"SR16-102A (2017-04-18), https://comptroller.nyc.gov/wp-content/uploads/documents/SR16_102A.pdf"
74,1548 Broadway,Yes,36,M050100,M050100,matched,address_exact,high,False,True,yes,,"SR16-102A (2017-04-18), https://comptroller.nyc.gov/wp-content/uploads/documents/SR16_102A.pdf"
75,114 West 47th Street,No,36,M050101,M050101,matched,address_exact,high,False,True,no,,"SR16-102A (2017-04-18), https://comptroller.nyc.gov/wp-content/uploads/documents/SR16_102A.pdf"
76,151 West 54th Street,Yes,36,M050102,M050102,matched,address_exact,high,False,True,yes,,"SR16-102A (2017-04-18), https://comptroller.nyc.gov/wp-content/uploads/documents/SR16_102A.pdf"
77,425 Fifth Avenue,Construction,37,M050103,M050103,matched,address_exact,high,False,True,construction,,"SR16-102A (2017-04-18), https://comptroller.nyc.gov/wp-content/uploads/documents/SR16_102A.pdf"
78,125 West 55th Street,Yes,37,M050106,M050106,matched,address_exact,high,False,True,yes,,"SR16-102A (2017-04-18), https://comptroller.nyc.gov/wp-content/uploads/documents/SR16_102A.pdf"
79,774 Sixth Avenue,No,37,,,no_match,none,none,True,True,no,,"SR16-102A (2017-04-18), https://comptroller.nyc.gov/wp-content/uploads/documents/SR16_102A.pdf"
80,11 West 53rd Street,Yes,37,M050108,M050108,matched,address_exact,high,False,True,yes,,"SR16-102A (2017-04-18), https://comptroller.nyc.gov/wp-content/uploads/documents/SR16_102A.pdf"
81,325 Fifth Avenue,Construction,37,M050109,M050109,matched,address_exact,high,False,True,construction,,"SR16-102A (2017-04-18), https://comptroller.nyc.gov/wp-content/uploads/documents/SR16_102A.pdf"
82,888 Seventh Avenue,Yes,37,M050011,M050011,matched,address_exact,high,False,True,yes,,"SR16-102A (2017-04-18), https://comptroller.nyc.gov/wp-content/uploads/documents/SR16_102A.pdf"
