pops_id,borough,address_normalized,building_name,bbl,bin,latitude,longitude,pops_type,year_established,required_hours,required_size,required_amenities,other_requirements,confirmed_pops_violation_count,post_2017_dob_enforcement_count,property_only_action_count,needs_review_count,any_linked_bulletin_action_count,confirmed_penalties_total,latest_enforcement_date,latest_enforcement_date_precision,enforcement_ids_confirmed,comptroller_2017_inspected,comptroller_2017_compliant,comptroller_2017_findings,comptroller_2017_audit_row,comptroller_2017_match_confidence,evidence_note
K010001,Brooklyn,334 WALLABOUT STREET,Pfizer Sites Development,3022657501,3000000,40.70116,-73.948665,Public Access Area,,,,,,0,0,0,0,0,0,,,,False,,,,,Bulletins highlight selected enforcement only; a zero count is not evidence of compliance.
K010002,Brooklyn,25 KENT AVENUE,,3022820001,3425961,40.722954,-73.957804,Publicly Accessible Open Space,,,,,,0,0,0,0,0,0,,,,False,,,,,Bulletins highlight selected enforcement only; a zero count is not evidence of compliance.
K010003,Brooklyn,316 KENT AVENUE,Domino Sugar Factory,3024147503,3335796,40.714449,-73.96743,Public Access Area,,,,,,0,0,2,2,2,0,,,,False,,,,,Bulletins highlight selected enforcement only; a zero count is not evidence of compliance.
K020001,Brooklyn,130 LIVINGSTON STREET,Livingston Plaza,3001630001,3319419,40.690409,-73.988771,Plaza,1991,24 Hours,Plaza 19201.00 sf,Lighting; Litter Receptacles; Other Required; Planting; Seating; Trees on Street,decorative pavement near intersection of Boerem Place and Livingston Street,0,0,0,0,0,0,,,,True,construction,,327.0,high,Bulletins highlight selected enforcement only; a zero count is not evidence of compliance.
K020002,Brooklyn,350 JAY STREET,Renaissance Plaza,3001407501,3000259,40.693812,-73.987992,Plaza and Plaza Connected Open Space; Urban Plaza,1998,24 Hours,Urban Plaza 28805.00 sf,Lighting; Litter Receptacles; Planting; Plaque/Sign; Retail Frontage; Seating; Trees on Street; Trees within Space,,0,0,1,1,1,0,,,,True,no,,328.0,high,Bulletins highlight selected enforcement only; a zero count is not evidence of compliance.
K020003,Brooklyn,1 METROTECH CENTER,,3001470004,3319418,40.693222,-73.986719,Commons and Public Areas,1990,24 Hours,Commons and Public Areas 0.00 sf,Artwork; Drinking Fountain; Lighting; Litter Receptacles; Other Required; Planting; Plaque/Sign; Seating; Subway; Trees on Street; Trees within Space,"Jay Plaza: newsstand, trellis; security",2,2,0,0,2,10000,2022-10,bulletin_month,EA-201901-d5abdc5f8d;EA-202210-09ae48b095,True,no,,329.0,low,Bulletins highlight selected enforcement only; a zero count is not evidence of compliance.
K020006,Brooklyn,111 LIVINGSTON STREET,,3002660001,3002555,40.691476,-73.989806,Plaza,1969,24 Hours,Plaza 9920.00 sf,None,,0,0,0,0,0,0,,,,False,,,,,Bulletins highlight selected enforcement only; a zero count is not evidence of compliance.
K020007,Brooklyn,230 ASHLAND PLACE,Forte,3020957502,3393804,40.688253,-73.978636,Residential Plaza,2007,24 Hours,Residential Plaza 3960.00 sf,Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles; Other Required; Planting; Plaque/Sign; Seating; Trees on Street; Trees within Space,adjacent wall of Brooklyn Academy of Music covered in planting,0,0,0,0,0,0,,,,True,no,,330.0,high,Bulletins highlight selected enforcement only; a zero count is not evidence of compliance.
K020008,Brooklyn,343 GOLD STREET,Avalon Fort Greene,3020490002,3393888,40.694078,-73.982885,Residential Plaza,2008,24 Hours,Residential Plaza 18699.00 sf,Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles; Planting; Plaque/Sign; Seating; Trees on Street; Trees within Space,,0,0,0,0,0,0,,,,True,yes,,331.0,high,Bulletins highlight selected enforcement only; a zero count is not evidence of compliance.
K020009,Brooklyn,203 JAY STREET,,3001077501,3426023,40.698099,-73.986566,Public Plaza,,24 Hours,Public Plaza 10405.00 sf,Artwork; Bicycle Parking; Drinking Fountain; Food Service; Litter Receptacles; Planting; Plaque/Sign; Seating; Trees on Street; Trees within Space,,0,0,0,0,0,0,,,,False,,,,,Bulletins highlight selected enforcement only; a zero count is not evidence of compliance.
K020010,Brooklyn,620 FULTON STREET,,3021080001,3424471,40.687418,-73.977918,Public Plaza,2017,24 Hours,Public Plaza 2768.00 sf,Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles; Planting; Plaque/Sign; Retail Frontage; Seating; Trees within Space,,0,0,0,0,0,0,,,,False,,,,,Bulletins highlight selected enforcement only; a zero count is not evidence of compliance.
K020011,Brooklyn,90 SANDS STREET,,3000870009,3000179,40.699584,-73.987158,Plaza,1996,24 Hours,Plaza 7672.25 sf,,,0,0,0,0,0,0,,,,False,,,,,Bulletins highlight selected enforcement only; a zero count is not evidence of compliance.
K020012,Brooklyn,286 ASHLAND PLACE,BAM South,3021107501,3428715,40.686202,-73.978499,Public Open Space,,,,,,0,0,0,0,0,0,,,,False,,,,,Bulletins highlight selected enforcement only; a zero count is not evidence of compliance.
K040001,Brooklyn,54 NOLL STREET,54 Noll Street / One Bushwick,3031520001,3418158,40.700345,-73.933709,Public Access Area,,Restricted Hours,,Bicycle Parking; Lighting; Litter Receptacles; Planting; Plaque/Sign; Seating; Trees within Space,,0,0,0,0,0,0,,,,False,,,,,Bulletins highlight selected enforcement only; a zero count is not evidence of compliance.
K130001,Brooklyn,2121 BOARDWALK WEST,Seaside Park & Community Arts Center,3070710142,3426960,40.572811,-73.98806,Open-Air Auditorium; Public Open Space,,,,,,0,0,0,0,0,0,,,,False,,,,,Bulletins highlight selected enforcement only; a zero count is not evidence of compliance.
K150001,Brooklyn,1809 EMMONS AVENUE,,3087737501,3247051,40.583936,-73.950173,'Plaza',,,,,,1,1,0,0,1,10000,2024-08,bulletin_month,EA-202408-91b61ec0ba,False,,,,,Bulletins highlight selected enforcement only; a zero count is not evidence of compliance.
M010002,Manhattan,101 BARCLAY STREET,,1001280002,1001416,40.71451,-74.012236,Pedestrian Easement; Public Lobby,1983,24 Hours,Pedestrian Easement 0.00 sf; Public Lobby 0.00 sf,None; Trees on Street; Trees within Space,,0,0,1,1,1,0,,,,True,no,"[p.21] Zoning Resolution. By failing to perform pro-active inspections, DOB has allowed non-compliance to continue for years without consequence. The POPS location at 101 Barclay Street in Manhattan is one example of a POPS location where no signage or amenities are required but where public access has been denied and no complaints have been made to DOB. The photograph below shows that POPS location as closed to the public. The property owne || [p.22] ibited from further entry into the building’s lobby, notwithstanding the fact that it is a POPS location and so a public space. Privately Owned Public Space at 101 Barclay Street At the time of the auditors visit to the location on July 20, 2016, building security informed the auditors that this lobby has been closed to the public for at least 15 years and is only open to Bank of New York staff. Auditors were not allowed to take any f || [p.23] prominently posted on the door that stated that the lobby is private property and intended for use only by employees and invited guests. However, the owner of 101 Barclay Street in Manhattan received a permit allowing modification of height and setback regulations in the building in exchange for providing a public lobby. While the owner has failed to provide the required public lobby, DOB has not issued any violations. Without schedu",1.0,high,Bulletins highlight selected enforcement only; a zero count is not evidence of compliance.
