pops_id,borough,address_normalized,building_name,bbl,bin,latitude,longitude,pops_number,borough_name,borocode,community_district,address_number,street_name,zip_code,building_address_with_zip,tax_block,tax_lot,building_location,year_completed,building_constructed,public_space_type,developer,building_architect,principal_public_space,size_required,hour_of_access_required,amenities_required,other_required,permitted_amenities,physically_disabled,xcoordinate,ycoordinate,council_district,census_tract,nta,geocoded_column,bin_is_placeholder,street_canonical,hn_low,hn_high,address_key,year_established,pops_type,required_hours,required_size,required_amenities,other_requirements,permitted_amenities_text,under_construction,data_quality_flags,source_dataset_url,source_record_url,source_rows_updated_at,source_retrieved_at,source_sha256
K010001,Brooklyn,334 WALLABOUT STREET,Pfizer Sites Development,3022657501,3000000,40.70116,-73.948665,K010001,Brooklyn,3,1,334,WALLABOUT STREET,11206,"334 WALLABOUT STREET, Brooklyn, NY 11206",2265,7501,,,Under Construction,Public Access Area,"Harrison Realty, LLC",,,,,,,,,998484,194732,33,507,,POINT (-73.948665 40.70116),True,WALLABOUT STREET,334,334,Brooklyn|334|WALLABOUT STREET,,Public Access Area,,,,,,True,bin_placeholder_not_matchable;missing_year;under_construction;missing_required_hours;missing_required_amenities,https://data.cityofnewyork.us/City-Government/Privately-Owned-Public-Spaces-POPS-/rvih-nhyn,https://data.cityofnewyork.us/resource/rvih-nhyn.json?pops_number=K010001,2025-10-14,2026-09-20T19:28:47+00:00,e2a280e21f4fe509dc14d65f2ab6e6b93bab0d41278ad258e7ea01758a870f3f
K010002,Brooklyn,25 KENT AVENUE,,3022820001,3425961,40.722954,-73.957804,K010002,Brooklyn,3,1,25,KENT AVENUE,11249,"25 KENT AVENUE, Brooklyn, NY 11249",2282,1,,,Completed,Publicly Accessible Open Space,,,,,,,,,Full/Partial,995946,202671,33,557,,POINT (-73.957804 40.722954),False,KENT AVENUE,25,25,Brooklyn|25|KENT AVENUE,,Publicly Accessible Open Space,,,,,,False,missing_year;missing_required_hours;missing_required_amenities,https://data.cityofnewyork.us/City-Government/Privately-Owned-Public-Spaces-POPS-/rvih-nhyn,https://data.cityofnewyork.us/resource/rvih-nhyn.json?pops_number=K010002,2025-10-14,2026-09-20T19:28:47+00:00,e2a280e21f4fe509dc14d65f2ab6e6b93bab0d41278ad258e7ea01758a870f3f
K010003,Brooklyn,316 KENT AVENUE,Domino Sugar Factory,3024147503,3335796,40.714449,-73.96743,K010003,Brooklyn,3,1,316,KENT AVENUE,11249,"316 KENT AVENUE, Brooklyn, NY 11249",2414,7503,,,,Public Access Area,,,,,,,,,Full/Partial,993279,199571,33,551,,POINT (-73.96743 40.714449),False,KENT AVENUE,316,316,Brooklyn|316|KENT AVENUE,,Public Access Area,,,,,,False,missing_year;missing_required_hours;missing_required_amenities,https://data.cityofnewyork.us/City-Government/Privately-Owned-Public-Spaces-POPS-/rvih-nhyn,https://data.cityofnewyork.us/resource/rvih-nhyn.json?pops_number=K010003,2025-10-14,2026-09-20T19:28:47+00:00,e2a280e21f4fe509dc14d65f2ab6e6b93bab0d41278ad258e7ea01758a870f3f
K020001,Brooklyn,130 LIVINGSTON STREET,Livingston Plaza,3001630001,3319419,40.690409,-73.988771,K020001,Brooklyn,3,2,130,LIVINGSTON STREET,11201,"130 LIVINGSTON STREET, Brooklyn, NY 11201",163,1,"Full block bounded by Livingston Street, Schermerhorn Street, Smith Street, and Boerem Place",1991,Completed,Plaza,Cohen Brothers,Murphy/Jahn Architects,Murphy/Jahn Architects,Plaza 19201.00 sf,24 Hours,Lighting; Litter Receptacles; Other Required; Planting; Seating; Trees on Street,decorative pavement near intersection of Boerem Place and Livingston Street,,Full/Partial,987364,190811,33,37,,POINT (-73.988771 40.690409),False,LIVINGSTON STREET,130,130,Brooklyn|130|LIVINGSTON STREET,1991,Plaza,24 Hours,Plaza 19201.00 sf,Lighting; Litter Receptacles; Other Required; Planting; Seating; Trees on Street,decorative pavement near intersection of Boerem Place and Livingston Street,,False,,https://data.cityofnewyork.us/City-Government/Privately-Owned-Public-Spaces-POPS-/rvih-nhyn,https://data.cityofnewyork.us/resource/rvih-nhyn.json?pops_number=K020001,2025-10-14,2026-09-20T19:28:47+00:00,e2a280e21f4fe509dc14d65f2ab6e6b93bab0d41278ad258e7ea01758a870f3f
K020002,Brooklyn,350 JAY STREET,Renaissance Plaza,3001407501,3000259,40.693812,-73.987992,K020002,Brooklyn,3,2,350,JAY STREET,11201,"350 JAY STREET, Brooklyn, NY 11201",140,7501,West side of Jay Street between Willoughby Street and Tech Place,1998,Completed,Plaza and Plaza Connected Open Space; Urban Plaza,Muss Development Company,William B. Tabler Architects,William B. Tabler Architects/Office of William B. Kuhl; William B. Tabler Architects/Moss Gilday Group (for alteration in 2003),Urban Plaza 28805.00 sf,24 Hours,Lighting; Litter Receptacles; Planting; Plaque/Sign; Retail Frontage; Seating; Trees on Street; Trees within Space,,Other Permitted,Full/Partial,987580,192051,33,11,,POINT (-73.987992 40.693812),False,JAY STREET,350,350,Brooklyn|350|JAY STREET,1998,Plaza and Plaza Connected Open Space; Urban Plaza,24 Hours,Urban Plaza 28805.00 sf,Lighting; Litter Receptacles; Planting; Plaque/Sign; Retail Frontage; Seating; Trees on Street; Trees within Space,,Other Permitted,False,,https://data.cityofnewyork.us/City-Government/Privately-Owned-Public-Spaces-POPS-/rvih-nhyn,https://data.cityofnewyork.us/resource/rvih-nhyn.json?pops_number=K020002,2025-10-14,2026-09-20T19:28:47+00:00,e2a280e21f4fe509dc14d65f2ab6e6b93bab0d41278ad258e7ea01758a870f3f
K020003,Brooklyn,1 METROTECH CENTER,,3001470004,3319418,40.693222,-73.986719,K020003,Brooklyn,3,2,1,METROTECH CENTER,11201,"1 METROTECH CENTER, Brooklyn, NY 11201",147,4,"Bounded by Jay Street, Tech Place, Bridge Street, Tillary Street, Flatbush Avenue, Duffield Street, and Willoughby Street",1990,Completed,Commons and Public Areas,Forest City MetroTech Associates,"Haines Lundberg Waehler/Skidmore, Owings & Merrill/Swanke Hayden Connell",The Ehrenkrantz Group & Eckstut,Commons and Public Areas 0.00 sf,24 Hours,Artwork; Drinking Fountain; Lighting; Litter Receptacles; Other Required; Planting; Plaque/Sign; Seating; Subway; Trees on Street; Trees within Space,"Jay Plaza: newsstand, trellis; security",,Full/Partial,987933,191836,33,11,,POINT (-73.986719 40.693222),False,METROTECH CENTER,1,1,Brooklyn|1|METROTECH CENTER,1990,Commons and Public Areas,24 Hours,Commons and Public Areas 0.00 sf,Artwork; Drinking Fountain; Lighting; Litter Receptacles; Other Required; Planting; Plaque/Sign; Seating; Subway; Trees on Street; Trees within Space,"Jay Plaza: newsstand, trellis; security",,False,,https://data.cityofnewyork.us/City-Government/Privately-Owned-Public-Spaces-POPS-/rvih-nhyn,https://data.cityofnewyork.us/resource/rvih-nhyn.json?pops_number=K020003,2025-10-14,2026-09-20T19:28:47+00:00,e2a280e21f4fe509dc14d65f2ab6e6b93bab0d41278ad258e7ea01758a870f3f
K020006,Brooklyn,111 LIVINGSTON STREET,,3002660001,3002555,40.691476,-73.989806,K020006,Brooklyn,3,2,111,LIVINGSTON STREET,11201,"111 LIVINGSTON STREET, Brooklyn, NY 11201",266,1,Northwest corner of Livingston Street and Boerem Place,1969,Completed,Plaza,,,,Plaza 9920.00 sf,24 Hours,None,,,Full/Partial,987077,191200,33,9,,POINT (-73.989806 40.691476),False,LIVINGSTON STREET,111,111,Brooklyn|111|LIVINGSTON STREET,1969,Plaza,24 Hours,Plaza 9920.00 sf,None,,,False,,https://data.cityofnewyork.us/City-Government/Privately-Owned-Public-Spaces-POPS-/rvih-nhyn,https://data.cityofnewyork.us/resource/rvih-nhyn.json?pops_number=K020006,2025-10-14,2026-09-20T19:28:47+00:00,e2a280e21f4fe509dc14d65f2ab6e6b93bab0d41278ad258e7ea01758a870f3f
K020007,Brooklyn,230 ASHLAND PLACE,Forte,3020957502,3393804,40.688253,-73.978636,K020007,Brooklyn,3,2,230,ASHLAND PLACE,11217,"230 ASHLAND PLACE, Brooklyn, NY 11217",2095,7502,North of Fulton Street between Ashland Place and Rockwell Place,2007,Completed,Residential Plaza,The Clarett Group,FXFowle Architects,Sullivan Group Design,Residential Plaza 3960.00 sf,24 Hours,Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles; Other Required; Planting; Plaque/Sign; Seating; Trees on Street; Trees within Space,adjacent wall of Brooklyn Academy of Music covered in planting,,Full/Partial,990175,190026,35,33,,POINT (-73.978636 40.688253),False,ASHLAND PLACE,230,230,Brooklyn|230|ASHLAND PLACE,2007,Residential Plaza,24 Hours,Residential Plaza 3960.00 sf,Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles; Other Required; Planting; Plaque/Sign; Seating; Trees on Street; Trees within Space,adjacent wall of Brooklyn Academy of Music covered in planting,,False,,https://data.cityofnewyork.us/City-Government/Privately-Owned-Public-Spaces-POPS-/rvih-nhyn,https://data.cityofnewyork.us/resource/rvih-nhyn.json?pops_number=K020007,2025-10-14,2026-09-20T19:28:47+00:00,e2a280e21f4fe509dc14d65f2ab6e6b93bab0d41278ad258e7ea01758a870f3f
K020008,Brooklyn,343 GOLD STREET,Avalon Fort Greene,3020490002,3393888,40.694078,-73.982885,K020008,Brooklyn,3,2,343,GOLD STREET,11201,"343 GOLD STREET, Brooklyn, NY 11201",2049,2,North of Myrtle Avenue between Flatbush Avenue Extension and Prince Street,2008,Completed,Residential Plaza,"Avalon Bay Communities, Inc.",Perkins Eastman,Moss Gilday Group,Residential Plaza 18699.00 sf,24 Hours,Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles; Planting; Plaque/Sign; Seating; Trees on Street; Trees within Space,,,Unknown,988996,192148,35,15,,POINT (-73.982885 40.694078),False,GOLD STREET,343,343,Brooklyn|343|GOLD STREET,2008,Residential Plaza,24 Hours,Residential Plaza 18699.00 sf,Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles; Planting; Plaque/Sign; Seating; Trees on Street; Trees within Space,,,False,,https://data.cityofnewyork.us/City-Government/Privately-Owned-Public-Spaces-POPS-/rvih-nhyn,https://data.cityofnewyork.us/resource/rvih-nhyn.json?pops_number=K020008,2025-10-14,2026-09-20T19:28:47+00:00,e2a280e21f4fe509dc14d65f2ab6e6b93bab0d41278ad258e7ea01758a870f3f
K020009,Brooklyn,203 JAY STREET,,3001077501,3426023,40.698099,-73.986566,K020009,Brooklyn,3,2,203,JAY STREET,11201,"203 JAY STREET, Brooklyn, NY 11201",107,7501,Building located on the east side of Jay Street between Concord Street and Nassau Street,0,Under Construction,Public Plaza,,,Scape Landscape Architecture PLLC,Public Plaza 10405.00 sf,24 Hours,Artwork; Bicycle Parking; Drinking Fountain; Food Service; Litter Receptacles; Planting; Plaque/Sign; Seating; Trees on Street; Trees within Space,,,Full/Partial,987975,193613,33,13,,POINT (-73.986566 40.698099),False,JAY STREET,203,203,Brooklyn|203|JAY STREET,,Public Plaza,24 Hours,Public Plaza 10405.00 sf,Artwork; Bicycle Parking; Drinking Fountain; Food Service; Litter Receptacles; Planting; Plaque/Sign; Seating; Trees on Street; Trees within Space,,,True,year_completed_is_0_in_source;under_construction,https://data.cityofnewyork.us/City-Government/Privately-Owned-Public-Spaces-POPS-/rvih-nhyn,https://data.cityofnewyork.us/resource/rvih-nhyn.json?pops_number=K020009,2025-10-14,2026-09-20T19:28:47+00:00,e2a280e21f4fe509dc14d65f2ab6e6b93bab0d41278ad258e7ea01758a870f3f
